success,reason,path_type,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,straight,2.0,0.0016385465860366821,0.19425195455551147,0.09952665865421295,180
1,success,straight,2.049999952316284,0.003806188702583313,0.18121600151062012,0.0839083343744278,183
1,success,straight,2.5,0.0611145943403244,0.1574118286371231,0.08097174763679504,200
1,success,straight,2.0,0.03344201296567917,0.1978018581867218,0.09116161614656448,203
1,success,straight,2.6000001430511475,0.040445372462272644,0.17437584698200226,0.09342580288648605,205
1,success,straight,2.0,0.011463791131973267,0.1513623595237732,0.08964566141366959,205
1,success,straight,2.6000001430511475,0.04300612956285477,0.1903940737247467,0.08051729947328568,206
1,success,straight,2.6500000953674316,0.05947701260447502,0.15969155728816986,0.07888656109571457,206
1,success,straight,2.049999952316284,0.01520444080233574,0.16222815215587616,0.08326940983533859,209
1,success,straight,2.700000047683716,0.037512101233005524,0.19770847260951996,0.09208380430936813,210
1,success,straight,2.75,0.054029278457164764,0.192735493183136,0.09879101067781448,211
1,success,straight,2.1000001430511475,0.0022542178630828857,0.19031797349452972,0.0948081910610199,212
1,success,straight,2.6000001430511475,0.04009167104959488,0.1998264491558075,0.09274639189243317,213
1,success,straight,2.6000001430511475,0.03170706704258919,0.19942915439605713,0.09991816431283951,214
1,success,straight,2.8500001430511475,0.062362294644117355,0.1595909297466278,0.09354987740516663,215
1,success,straight,2.1500000953674316,0.007586054503917694,0.1681046336889267,0.09177960455417633,215
1,success,straight,2.8500001430511475,0.05320177227258682,0.19241812825202942,0.09199666231870651,216
1,success,straight,2.9000000953674316,0.05874250829219818,0.18964272737503052,0.09098897129297256,218
1,success,straight,2.200000047683716,0.027994032949209213,0.14635604619979858,0.09199270606040955,218
1,success,straight,2.6500000953674316,0.026975713670253754,0.19928082823753357,0.09791811555624008,218
1,success,straight,2.950000047683716,0.08611444383859634,0.14864133298397064,0.08100191503763199,219
1,success,straight,2.950000047683716,0.07434849441051483,0.15914475917816162,0.09695154428482056,219
1,success,straight,2.299999952316284,0.02655380219221115,0.16849245131015778,0.0888720452785492,220
1,success,straight,2.75,0.03419151529669762,0.19908733665943146,0.08016624301671982,220
1,success,straight,2.950000047683716,0.059577085077762604,0.19193896651268005,0.08874854445457458,221
