success,reason,path_type,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
0,deviation,left_arc,7.349999904632568,1.5033029317855835,1.7371059656143188,1.0044440031051636,341
0,deviation,left_arc,7.849999904632568,1.503931999206543,1.9024029970169067,0.995805025100708,345
0,deviation,left_arc,6.25,1.5069835186004639,1.513820767402649,0.9416287541389465,347
1,success,left_arc,6.0,0.1784355640411377,0.185316264629364,0.0776752382516861,359
0,deviation,left_arc,7.650000095367432,1.5089101791381836,1.6397778987884521,1.004343867301941,362
0,deviation,left_arc,6.800000190734863,1.5064470767974854,1.542358636856079,0.9066979289054871,377
1,success,left_arc,7.200000286102295,0.06901996582746506,0.09808005392551422,0.09271517395973206,414
1,success,left_arc,7.400000095367432,0.1584697663784027,0.17465545237064362,0.09545567631721497,419
0,deviation,left_arc,7.849999904632568,1.5052411556243896,1.575250506401062,0.6287882924079895,438
0,deviation,left_arc,7.150000095367432,1.5019789934158325,1.6629499197006226,0.693496584892273,443
1,success,left_arc,7.25,0.15759894251823425,0.1683313250541687,0.09120510518550873,503
1,success,left_arc,6.900000095367432,0.18076850473880768,0.18330495059490204,0.09893385320901871,587
0,deviation,left_arc,7.050000190734863,1.5034714937210083,1.8538167476654053,0.6733018159866333,612
0,deviation,left_arc,7.450000286102295,1.500676155090332,1.646524429321289,0.5388157367706299,628
1,success,left_arc,5.5,0.04124830663204193,0.1998744010925293,0.08615907281637192,669
0,deviation,left_arc,7.650000095367432,1.5003656148910522,1.742272973060608,0.740039587020874,815
1,success,left_arc,7.599999904632568,0.1376228779554367,0.1524485945701599,0.09858836233615875,884
0,deviation,left_arc,6.200000286102295,1.5013408660888672,7.650187969207764,1.1785510778427124,1324
0,deviation,left_arc,4.400000095367432,1.5030055046081543,2.0433449745178223,0.4326592683792114,1346
0,deviation,left_arc,5.349999904632568,1.505908727645874,1.8159772157669067,0.5399631261825562,1362
0,deviation,left_arc,3.8500001430511475,1.5036250352859497,1.7559763193130493,0.3890438675880432,1399
0,deviation,left_arc,4.849999904632568,1.5092283487319946,1.8849890232086182,0.5314266681671143,1545
0,deviation,left_arc,4.800000190734863,1.5050716400146484,1.5109754800796509,0.5804422497749329,1617
0,deviation,left_arc,4.25,1.503373146057129,1.5973055362701416,0.4301850497722626,1715
0,deviation,left_arc,5.200000286102295,1.5080164670944214,2.3066368103027344,0.5173603892326355,1961
0,timeout,left_arc,5.650000095367432,0.16475382447242737,0.39849281311035156,0.20443269610404968,2001
0,timeout,left_arc,6.900000095367432,0.10664567351341248,0.584674596786499,0.1316986382007599,2001
