joint1_target_rad_s,joint2_angle_rad,net_displacement_m,steady_speed_mps,mean_speed_mps
0.02,0.0,0.07950007170438766,0.007950006984174252,0.007950006052851677
0.02,0.0,0.07944801449775696,0.007944801822304726,0.007944809272885323
0.02,0.0,0.07936461269855499,0.00793646089732647,0.007936476729810238
0.02,0.0,0.07946326583623886,0.007946326397359371,0.007946343161165714
0.02,0.3,0.07056521624326706,0.007056521717458963,0.011735474690794945
0.02,0.3,0.08150293678045273,0.008150293491780758,0.011734490282833576
0.02,0.3,0.08567001670598984,0.008567001670598984,0.01212933100759983
0.02,0.3,0.06759900599718094,0.006759900599718094,0.01104543823748827
0.02,-0.3,0.08239760249853134,0.00823976006358862,0.010873845778405666
0.02,-0.3,0.07239388674497604,0.007239388767629862,0.011249451898038387
0.02,-0.3,0.08200621604919434,0.008200621232390404,0.012199821881949902
0.02,-0.3,0.08895283192396164,0.008895283564925194,0.012636152096092701
0.03,0.0,0.11919820308685303,0.011919820681214333,0.011919815093278885
0.03,0.0,0.11922391504049301,0.011922391131520271,0.01192240696400404
0.03,0.0,0.11923292279243469,0.011923292651772499,0.011923441663384438
0.03,0.0,0.11913096904754639,0.011913096532225609,0.011913159862160683
0.03,0.3,0.11519447714090347,0.011519447900354862,0.015284731984138489
0.03,0.3,0.10075297206640244,0.010075297206640244,0.014473375864326954
0.03,0.3,0.11206397414207458,0.011206397786736488,0.014964954927563667
0.03,0.3,0.10363011807203293,0.010363011620938778,0.014593616127967834
0.03,-0.3,0.11804863810539246,0.011804863810539246,0.015012125484645367
0.03,-0.3,0.11528019607067108,0.011528019793331623,0.01470194198191166
0.03,-0.3,0.11809312552213669,0.011809312738478184,0.01480443961918354
0.03,-0.3,0.1114172637462616,0.01114172674715519,0.014897873625159264
0.05,0.0,0.1986619234085083,0.01986619271337986,0.0198662206530571
0.05,0.0,0.19854456186294556,0.019854456186294556,0.019854525104165077
0.05,0.0,0.1987042874097824,0.01987042836844921,0.01987053081393242
0.05,0.0,0.19822686910629272,0.019822686910629272,0.01982272043824196
0.05,0.3,0.1723759025335312,0.01723759062588215,0.02074555493891239
0.05,0.3,0.1845259666442871,0.01845259591937065,0.021197719499468803
0.05,0.3,0.18624848127365112,0.018624847754836082,0.021745003759860992
0.05,0.3,0.194726824760437,0.01947268284857273,0.021955816075205803
0.05,-0.3,0.18240706622600555,0.018240706995129585,0.021247688680887222
0.05,-0.3,0.1711592823266983,0.01711592823266983,0.020624250173568726
0.05,-0.3,0.19301432371139526,0.019301433116197586,0.021526290103793144
0.05,-0.3,0.19262097775936127,0.019262097775936127,0.021913964301347733
0.07,0.0,0.2779926061630249,0.02779925987124443,0.027799304574728012
0.07,0.0,0.2778564691543579,0.02778564766049385,0.027785638347268105
0.07,0.0,0.2781071960926056,0.0278107188642025,0.02781074307858944
0.07,0.0,0.27816811203956604,0.027816811576485634,0.02781684137880802
0.07,0.3,0.2511390149593353,0.025113901123404503,0.027695920318365097
0.07,0.3,0.24795012176036835,0.024795012548565865,0.02785089612007141
0.07,0.3,0.24956652522087097,0.024956652894616127,0.02756958082318306
0.07,0.3,0.248203307390213,0.02482033148407936,0.027842406183481216
0.07,-0.3,0.25517570972442627,0.025517571717500687,0.027818147093057632
0.07,-0.3,0.25539660453796387,0.025539660826325417,0.02777181565761566
0.07,-0.3,0.24897454679012299,0.02489745430648327,0.027671778574585915
0.07,-0.3,0.25716865062713623,0.025716865435242653,0.028018470853567123
0.1,0.0,0.39720937609672546,0.039720937609672546,0.039720963686704636
0.1,0.0,0.3970056176185608,0.03970056027173996,0.03970061242580414
0.1,0.0,0.39676472544670105,0.039676472544670105,0.03967653214931488
0.1,0.0,0.3972245752811432,0.03972245752811432,0.03972261771559715
0.1,0.3,0.37364181876182556,0.037364181131124496,0.03911446034908295
0.1,0.3,0.365100234746933,0.03651002421975136,0.038613419979810715
0.1,0.3,0.36455392837524414,0.036455392837524414,0.0386601984500885
0.1,0.3,0.37469759583473206,0.037469759583473206,0.03922227770090103
0.1,-0.3,0.3656519651412964,0.03656519576907158,0.03865975886583328
0.1,-0.3,0.36453986167907715,0.036453984677791595,0.03853507712483406
0.1,-0.3,0.36609381437301636,0.036609381437301636,0.038579702377319336
0.1,-0.3,0.365609347820282,0.03656093403697014,0.03858214616775513
0.14,0.0,0.5560656189918518,0.05560656264424324,0.05560658127069473
0.14,0.0,0.5561214089393616,0.05561213940382004,0.05561240389943123
0.14,0.0,0.556183397769928,0.05561833828687668,0.055618416517972946
0.14,0.0,0.5562151670455933,0.055621515959501266,0.05562152341008186
0.14,0.3,0.5173686742782593,0.05173686891794205,0.05355621501803398
0.14,0.3,0.5200284719467163,0.05200284719467163,0.05367100238800049
0.14,0.3,0.5169392228126526,0.05169392377138138,0.05344432592391968
0.14,0.3,0.5226222276687622,0.05226222425699234,0.053955454379320145
0.14,-0.3,0.5173991322517395,0.05173991248011589,0.05345519632101059
0.14,-0.3,0.5160962343215942,0.051609624177217484,0.05344861000776291
0.14,-0.3,0.5203933715820312,0.052039336413145065,0.053768910467624664
0.14,-0.3,0.5180341601371765,0.05180341750383377,0.05352572724223137
0.2,0.0,0.7942526340484619,0.07942526042461395,0.07942551374435425
0.2,0.0,0.7937352061271667,0.07937352359294891,0.0793735459446907
0.2,0.0,0.7942700386047363,0.07942700386047363,0.07942705601453781
0.2,0.0,0.7938269972801208,0.07938270270824432,0.07938291877508163
0.2,0.3,0.7546535730361938,0.0754653587937355,0.07740990817546844
0.2,0.3,0.7400493621826172,0.07400493323802948,0.07608375698328018
0.2,0.3,0.7431651949882507,0.07431651651859283,0.07636304944753647
0.2,0.3,0.7403258085250854,0.07403258234262466,0.07608448714017868
0.2,-0.3,0.7500258684158325,0.07500258833169937,0.07703559845685959
0.2,-0.3,0.7498636245727539,0.07498636096715927,0.07694877684116364
0.2,-0.3,0.7483569383621216,0.07483569532632828,0.07681094110012054
0.2,-0.3,0.7476794123649597,0.07476793974637985,0.07676758617162704
0.28,0.0,1.111928105354309,0.11119280755519867,0.11119304597377777
0.28,0.0,1.1119341850280762,0.11119341850280762,0.11119329929351807
0.28,0.0,1.1122090816497803,0.11122091114521027,0.11122114956378937
0.28,0.0,1.112391710281372,0.11123917251825333,0.11123939603567123
0.28,0.3,1.0306217670440674,0.10306217521429062,0.10674329102039337
0.28,0.3,1.0288273096084595,0.10288272798061371,0.1065286174416542
0.28,0.3,1.0302964448928833,0.10302964597940445,0.10671336948871613
0.28,0.3,1.0312256813049316,0.10312256962060928,0.10680009424686432
0.28,-0.3,1.0308361053466797,0.10308361053466797,0.10676757991313934
0.28,-0.3,1.0305083990097046,0.1030508428812027,0.10672765970230103
0.28,-0.3,1.030082106590271,0.1030082106590271,0.10667884349822998
0.28,-0.3,1.0303601026535034,0.10303600877523422,0.10672187805175781
0.4,0.0,1.588755488395691,0.15887555480003357,0.1588757187128067
0.4,0.0,1.5886569023132324,0.15886569023132324,0.15886558592319489
0.4,0.0,1.5886874198913574,0.15886874496936798,0.15886865556240082
0.4,0.0,1.58896005153656,0.15889599919319153,0.15889602899551392
0.4,0.3,1.444928765296936,0.14449287950992584,0.15212492644786835
0.4,0.3,1.4459235668182373,0.14459235966205597,0.15221652388572693
0.4,0.3,1.4465599060058594,0.1446559876203537,0.15222910046577454
0.4,0.3,1.4448795318603516,0.14448794722557068,0.15212488174438477
0.4,-0.3,1.4467931985855103,0.14467932283878326,0.15222667157649994
0.4,-0.3,1.4467222690582275,0.144672229886055,0.15223196148872375
0.4,-0.3,1.4447956085205078,0.14447955787181854,0.15212102234363556
0.4,-0.3,1.4469020366668701,0.14469020068645477,0.15229150652885437
0.55,0.0,2.184497594833374,0.21844975650310516,0.21845011413097382
0.55,0.0,2.1844820976257324,0.218448206782341,0.2184487134218216
0.55,0.0,2.1843154430389404,0.21843154728412628,0.21843168139457703
0.55,0.0,2.1843700408935547,0.21843700110912323,0.21843695640563965
0.55,0.3,2.0327274799346924,0.203272745013237,0.20920903980731964
0.55,0.3,2.032562255859375,0.20325621962547302,0.2092021405696869
0.55,0.3,2.033230781555176,0.20332308113574982,0.2092086374759674
0.55,0.3,2.033021926879883,0.20330218970775604,0.20921394228935242
0.55,-0.3,2.032575845718384,0.20325759053230286,0.20921066403388977
0.55,-0.3,2.032527208328247,0.20325271785259247,0.20919859409332275
0.55,-0.3,2.0309300422668457,0.2030930072069168,0.2092001885175705
0.55,-0.3,2.032459020614624,0.20324590802192688,0.20919427275657654
0.8,0.0,3.17651629447937,0.317651629447937,0.3176518678665161
0.8,0.0,3.1766440868377686,0.31766441464424133,0.3176655173301697
0.8,0.0,3.176658868789673,0.31766587495803833,0.3176659345626831
0.8,0.0,3.176635265350342,0.3176635205745697,0.3176637291908264
0.8,0.3,2.9674036502838135,0.2967403531074524,0.30448824167251587
0.8,0.3,2.968182325363159,0.29681822657585144,0.3045128285884857
0.8,0.3,2.967459201812744,0.2967459261417389,0.30451151728630066
0.8,0.3,2.9679806232452393,0.29679805040359497,0.3044966757297516
0.8,-0.3,2.9671828746795654,0.2967182993888855,0.30451199412345886
0.8,-0.3,2.9679293632507324,0.2967929244041443,0.3045225739479065
0.8,-0.3,2.9683361053466797,0.2968336045742035,0.30451494455337524
0.8,-0.3,2.967417001724243,0.29674169421195984,0.3045012354850769
