success,reason,path_type,curvature,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,s_curve,0.5,3.0,0.16280585527420044,0.19914989173412323,0.07248326390981674,491
1,success,straight,0.0,3.049999952316284,0.0036700076889246702,0.19930408895015717,0.0987541526556015,575
1,success,s_curve,0.5,3.5,0.1835348755121231,0.19966252148151398,0.04133787378668785,578
1,success,left_arc,0.25,3.0,0.02607928030192852,0.15876109898090363,0.09902361035346985,587
1,success,straight,0.0,3.1500000953674316,0.06787344068288803,0.18681861460208893,0.08042139559984207,606
1,success,straight,0.0,3.1500000953674316,0.05212124437093735,0.18210966885089874,0.09630642086267471,608
1,success,left_arc,0.25,3.1000001430511475,0.018249494954943657,0.16138212382793427,0.0992979109287262,610
1,success,s_curve,0.5,5.550000190734863,0.02110469527542591,0.13664400577545166,0.09926848858594894,615
1,success,straight,0.0,3.200000047683716,0.041550394147634506,0.17829027771949768,0.09009204804897308,616
1,success,right_arc,-0.20000000298023224,3.200000047683716,0.0014252383261919022,0.14654867351055145,0.09509758651256561,633
1,success,s_curve,-0.5,4.450000286102295,0.1414637267589569,0.19851915538311005,0.0792793408036232,645
1,success,straight,0.0,3.4000000953674316,0.05582260340452194,0.18287023901939392,0.094854936003685,647
1,success,left_arc,0.25,3.450000047683716,0.053764648735523224,0.17213965952396393,0.08624671399593353,650
1,success,left_arc,0.3333333432674408,3.4000000953674316,0.10871899873018265,0.19981272518634796,0.08082327246665955,655
1,success,straight,0.0,3.549999952316284,0.0023996783420443535,0.1999303102493286,0.09160926938056946,659
1,success,straight,0.0,3.549999952316284,0.002128258114680648,0.1929405778646469,0.09916029125452042,661
1,success,right_arc,-0.20000000298023224,3.450000047683716,0.11894889175891876,0.19321806728839874,0.09763113409280777,667
1,success,straight,0.0,3.5,0.038987889885902405,0.17200882732868195,0.09856165945529938,668
1,success,right_arc,-0.20000000298023224,3.5,0.10606174170970917,0.19913622736930847,0.04759129509329796,670
1,success,s_curve,-0.5,4.400000095367432,0.1727171093225479,0.1995254009962082,0.036442868411540985,676
1,success,s_curve,0.25,3.200000047683716,0.16999267041683197,0.19976463913917542,0.04717061668634415,681
1,success,s_curve,0.25,3.25,0.15126626193523407,0.1995217502117157,0.07072311639785767,683
1,success,right_arc,-0.3333333432674408,3.1000001430511475,0.18746306002140045,0.19969229400157928,0.025784190744161606,689
1,success,s_curve,-0.20000000298023224,3.549999952316284,0.12656593322753906,0.1986454427242279,0.08900196850299835,697
1,success,right_arc,-0.25,3.549999952316284,0.09656109660863876,0.19940313696861267,0.090433269739151,699
1,success,straight,0.0,3.700000047683716,0.09712402522563934,0.19228224456310272,0.09974640607833862,702
1,success,s_curve,0.5,6.25,0.18312785029411316,0.1994169056415558,0.06009615957736969,717
1,success,right_arc,-0.20000000298023224,3.5,0.14393936097621918,0.19950291514396667,0.07677668333053589,718
1,success,straight,0.0,3.799999952316284,0.12379834800958633,0.19882668554782867,0.07777455449104309,723
1,success,s_curve,0.3333333432674408,3.049999952316284,0.18782997131347656,0.1998092085123062,0.032540883868932724,730
1,success,straight,0.0,3.9000000953674316,0.04803737625479698,0.18121673166751862,0.08294454216957092,730
1,success,straight,0.0,3.8500001430511475,0.12091383337974548,0.19925345480442047,0.07884100079536438,732
1,success,s_curve,-0.5,5.050000190734863,0.015585467219352722,0.17457866668701172,0.0738709419965744,739
1,success,right_arc,-0.20000000298023224,4.050000190734863,0.007986800745129585,0.17366380989551544,0.09214421361684799,742
1,success,s_curve,0.3333333432674408,3.700000047683716,0.018463412299752235,0.17549081146717072,0.062407370656728745,751
1,success,straight,0.0,4.050000190734863,0.06423160433769226,0.18641017377376556,0.08255090564489365,758
1,success,right_arc,-0.3333333432674408,4.0,0.009133847430348396,0.1744503229856491,0.09465374052524567,759
1,success,right_arc,-0.25,4.150000095367432,0.04913589358329773,0.18017806112766266,0.0890900120139122,762
1,success,s_curve,-0.5,7.099999904632568,0.06855885684490204,0.16140249371528625,0.09997063875198364,763
1,success,right_arc,-0.3333333432674408,3.1500000953674316,0.18261362612247467,0.19962790608406067,0.05152062326669693,768
1,success,straight,0.0,4.150000095367432,0.014872563071548939,0.17475536465644836,0.07765810191631317,775
1,success,left_arc,0.20000000298023224,4.25,0.01762438379228115,0.1940516233444214,0.0959785133600235,779
1,success,s_curve,0.5,7.400000095367432,0.08477362990379333,0.16068735718727112,0.09995268285274506,782
1,success,left_arc,0.20000000298023224,4.200000286102295,0.00030290172435343266,0.17371226847171783,0.08116757869720459,783
1,success,left_arc,0.4000000059604645,5.0,0.06211397424340248,0.18732884526252747,0.09827026724815369,784
1,success,left_arc,0.3333333432674408,3.700000047683716,0.1699409782886505,0.19929364323616028,0.04897553473711014,785
1,success,s_curve,-0.25,4.0,0.10414227843284607,0.19918258488178253,0.052446432411670685,786
1,success,s_curve,0.3333333432674408,3.049999952316284,0.18956515192985535,0.19978217780590057,0.02420744299888611,791
1,success,s_curve,0.25,3.8500001430511475,0.13721343874931335,0.19858309626579285,0.08380182832479477,799
1,success,s_curve,0.25,3.549999952316284,0.18466530740261078,0.19991210103034973,0.031061483547091484,805
1,success,left_arc,0.25,4.349999904632568,0.1254758983850479,0.19953468441963196,0.07240092754364014,805
1,success,left_arc,0.4000000059604645,3.8500001430511475,0.11788057535886765,0.1994115263223648,0.029611466452479362,811
1,success,right_arc,-0.25,4.25,0.1198960542678833,0.19986437261104584,0.07192613184452057,812
1,success,s_curve,-0.25,3.6000001430511475,0.18680748343467712,0.19988703727722168,0.031148899346590042,813
1,success,s_curve,-0.20000000298023224,3.950000047683716,0.13748598098754883,0.19894227385520935,0.06996818631887436,815
1,success,s_curve,-0.25,4.0,0.1465780884027481,0.19870483875274658,0.06953439116477966,815
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.005602401215583086,0.12195360660552979,0.09961195290088654,818
1,success,left_arc,0.5,3.200000047683716,0.16821350157260895,0.19985918700695038,0.03438900411128998,820
1,success,straight,0.0,4.5,0.06231236457824707,0.19932003319263458,0.08513327687978745,824
1,success,straight,0.0,4.450000286102295,0.012875206768512726,0.17543034255504608,0.07878205925226212,825
1,success,straight,0.0,4.450000286102295,0.08437243103981018,0.19350720942020416,0.07873924821615219,825
1,success,left_arc,0.4000000059604645,5.150000095367432,0.007119077257812023,0.09038863331079483,0.09946255385875702,827
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.017234638333320618,0.12223944813013077,0.0995827168226242,828
1,success,left_arc,0.4000000059604645,5.200000286102295,0.001691844197921455,0.1417514532804489,0.09941981732845306,836
1,success,left_arc,0.4000000059604645,5.200000286102295,0.04726295918226242,0.14003536105155945,0.09899233281612396,836
1,success,left_arc,0.4000000059604645,5.200000286102295,0.01658008061349392,0.1479063630104065,0.09846522659063339,838
1,success,left_arc,0.4000000059604645,5.200000286102295,0.04237297922372818,0.09191633015871048,0.09359767287969589,838
1,success,left_arc,0.4000000059604645,5.200000286102295,0.0015699684154242277,0.08905142545700073,0.09553499519824982,838
1,success,left_arc,0.4000000059604645,5.200000286102295,0.07724052667617798,0.11498454958200455,0.09933362156152725,838
1,success,left_arc,0.4000000059604645,5.200000286102295,0.013348789885640144,0.14114415645599365,0.09842163324356079,840
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.10167001187801361,0.13709688186645508,0.09743385016918182,840
1,success,straight,0.0,4.550000190734863,0.04218567907810211,0.1797940880060196,0.0759066641330719,841
1,success,straight,0.0,4.550000190734863,0.029759619385004044,0.17736175656318665,0.07508032023906708,841
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.06363236904144287,0.15893550217151642,0.09907563775777817,842
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.056337177753448486,0.10285605490207672,0.09968312084674835,843
1,success,left_arc,0.4000000059604645,5.200000286102295,0.08828799426555634,0.12095512449741364,0.09428232908248901,844
1,success,left_arc,0.4000000059604645,5.200000286102295,0.08681760728359222,0.11931014060974121,0.09857883304357529,844
1,success,left_arc,0.4000000059604645,5.200000286102295,0.12116486579179764,0.14507240056991577,0.0993507131934166,845
1,success,left_arc,0.4000000059604645,5.200000286102295,0.09832457453012466,0.12681129574775696,0.09760066121816635,846
1,success,left_arc,0.4000000059604645,5.200000286102295,0.1321658343076706,0.15358352661132812,0.09977642446756363,848
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.05956774204969406,0.09547021239995956,0.09974423050880432,848
1,success,right_arc,-0.4000000059604645,5.200000286102295,0.11095637828111649,0.14533933997154236,0.0991472378373146,850
1,success,right_arc,-0.25,4.650000095367432,0.030304260551929474,0.1778213083744049,0.09364917129278183,851
