success,reason,path_type,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,right_arc,3.549999952316284,0.16535532474517822,0.1995782107114792,0.06424971669912338,544
1,success,right_arc,3.4000000953674316,0.17637604475021362,0.19946490228176117,0.062050044536590576,546
1,success,right_arc,3.9000000953674316,0.14102844893932343,0.19937919080257416,0.05897994339466095,551
1,success,right_arc,3.6500000953674316,0.16951099038124084,0.19931644201278687,0.054046276956796646,557
1,success,right_arc,3.5,0.17788156867027283,0.1998661756515503,0.052364908158779144,561
1,success,right_arc,3.799999952316284,0.13308632373809814,0.19922836124897003,0.046851374208927155,564
1,success,right_arc,3.549999952316284,0.17472195625305176,0.1990663707256317,0.04916907846927643,566
1,success,right_arc,3.75,0.14023268222808838,0.19986648857593536,0.04541419818997383,570
1,success,right_arc,3.700000047683716,0.15383011102676392,0.19953790307044983,0.04260221868753433,574
1,success,right_arc,3.75,0.14299701154232025,0.1998508870601654,0.041221629828214645,576
1,success,right_arc,3.8500001430511475,0.16213108599185944,0.19998063147068024,0.03919494152069092,582
1,success,right_arc,3.8500001430511475,0.1460873931646347,0.1994297206401825,0.04224351420998573,583
1,success,right_arc,3.25,0.195437490940094,0.19974976778030396,0.04272197559475899,587
1,success,right_arc,3.9000000953674316,0.14281341433525085,0.19975629448890686,0.041946712881326675,588
1,success,right_arc,3.200000047683716,0.19891612231731415,0.19989491999149323,0.012433614581823349,675
0,deviation,right_arc,5.950000286102295,1.5089895725250244,1.5099382400512695,0.5168853998184204,712
0,deviation,right_arc,5.800000190734863,1.5075604915618896,1.50933837890625,0.5354512929916382,723
0,deviation,right_arc,5.800000190734863,1.5004286766052246,1.500428557395935,0.554398775100708,723
0,deviation,right_arc,5.800000190734863,1.506211280822754,1.5065187215805054,0.5565170645713806,728
0,deviation,right_arc,5.700000286102295,1.5091288089752197,1.513484001159668,0.563359260559082,731
0,deviation,right_arc,6.0,1.5066537857055664,1.5151115655899048,0.5404441952705383,732
0,deviation,right_arc,5.650000095367432,1.5016165971755981,1.5127239227294922,0.5649315714836121,734
0,deviation,right_arc,5.800000190734863,1.5080251693725586,1.508702278137207,0.5502153038978577,734
0,deviation,right_arc,5.75,1.5077719688415527,1.5089396238327026,0.555945873260498,734
0,deviation,right_arc,5.700000286102295,1.5032247304916382,1.5072016716003418,0.5561367869377136,734
0,deviation,right_arc,5.550000190734863,1.5043330192565918,1.536506175994873,0.5678539872169495,739
0,deviation,right_arc,5.349999904632568,1.5073482990264893,1.5857815742492676,0.5935493111610413,739
0,deviation,right_arc,5.400000095367432,1.5041611194610596,1.567572832107544,0.5821195840835571,741
0,deviation,right_arc,5.400000095367432,1.5065767765045166,1.5464580059051514,0.597377359867096,746
0,deviation,right_arc,5.0,1.5017001628875732,1.6534804105758667,0.6342437863349915,755
0,deviation,right_arc,5.349999904632568,1.5037734508514404,1.5506521463394165,0.574282705783844,757
0,deviation,right_arc,5.400000095367432,1.506005048751831,1.5312786102294922,0.565216600894928,763
0,deviation,right_arc,4.950000286102295,1.5017764568328857,1.5765445232391357,0.5856639742851257,773
