joint1_target_rad_s,joint2_angle_rad,net_displacement_m,steady_speed_mps,mean_speed_mps
0.02,0.0,0.07947860658168793,0.007947860285639763,0.007947850972414017
0.02,0.0,0.07940960675477982,0.007940961048007011,0.007940965704619884
0.02,0.0,0.0793619379401207,0.007936193607747555,0.007936201058328152
0.02,0.0,0.0795365422964096,0.007953654043376446,0.007953695952892303
0.02,0.3,0.06194587051868439,0.006194586865603924,0.01172675658017397
0.02,0.3,0.08837953954935074,0.008837954141199589,0.012682134285569191
0.02,0.3,0.08454301208257675,0.00845430139452219,0.011543573811650276
0.02,0.3,0.08810562640428543,0.008810563012957573,0.01285681314766407
0.02,0.45,0.07444016635417938,0.007444016635417938,0.012643374502658844
0.02,0.45,0.07039675861597061,0.007039675954729319,0.013156913220882416
0.02,0.45,0.0865662544965744,0.008656625635921955,0.01349060982465744
0.02,0.45,0.06339489668607712,0.006339489482343197,0.013373482041060925
0.02,0.5236,0.08615447580814362,0.008615447208285332,0.029158761724829674
0.02,0.5236,0.06117880716919899,0.0061178808100521564,0.029668379575014114
0.02,0.5236,0.0588986799120903,0.005889867898076773,0.03138987720012665
0.02,0.5236,0.08765595406293869,0.00876559503376484,0.02725091204047203
0.03,0.0,0.11923142522573471,0.011923142708837986,0.011923163197934628
0.03,0.0,0.11912483721971512,0.011912483721971512,0.011912484653294086
0.03,0.0,0.11907225847244263,0.011907225474715233,0.011907234787940979
0.03,0.0,0.11936674267053604,0.011936673894524574,0.011936826631426811
0.03,0.3,0.09933557361364365,0.009933557361364365,0.014573636464774609
0.03,0.3,0.10771773010492325,0.01077177282422781,0.014794962480664253
0.03,0.3,0.11087406426668167,0.011087406426668167,0.014577239751815796
0.03,0.3,0.11322380602359772,0.011322380974888802,0.01445402204990387
0.03,0.45,0.12394551932811737,0.012394552119076252,0.016955893486738205
0.03,0.45,0.10392618179321289,0.010392618365585804,0.01632722094655037
0.03,0.45,0.10482743382453918,0.010482743382453918,0.015110226348042488
0.03,0.45,0.11114997416734695,0.011114997789263725,0.015123439952731133
0.03,0.5236,0.10610659420490265,0.01061065960675478,0.029542643576860428
0.03,0.5236,0.09885401278734207,0.009885401464998722,0.028774309903383255
0.03,0.5236,0.06866391003131866,0.0068663908168673515,0.03215380758047104
0.03,0.5236,0.07453689724206924,0.007453689817339182,0.02925274148583412
0.05,0.0,0.19889512658119202,0.01988951303064823,0.019889581948518753
0.05,0.0,0.19889800250530243,0.019889799878001213,0.01988985203206539
0.05,0.0,0.1983087658882141,0.01983087696135044,0.019830960780382156
0.05,0.0,0.1990383267402649,0.01990383304655552,0.019903894513845444
0.05,0.3,0.18109053373336792,0.018109053373336792,0.02097797393798828
0.05,0.3,0.18080644309520721,0.01808064430952072,0.021033672615885735
