window,success,reason,cross_track_m,endpoint_m,speed_mps,steps
60,1,success,0.11503413319587708,0.19883395731449127,0.08956243097782135,2752
61,0,deviation,1.5064839124679565,4.305093288421631,0.49557650089263916,1192
62,0,deviation,1.5004582405090332,5.576976776123047,0.5003697276115417,1085
63,0,deviation,1.5029611587524414,6.046757221221924,0.49957001209259033,941
64,0,deviation,1.506616473197937,7.366888523101807,0.4968016445636749,901
65,0,deviation,1.5051186084747314,8.22091007232666,0.5029085278511047,814
66,0,deviation,1.5064122676849365,8.6791353225708,0.5006014704704285,696
67,0,deviation,1.5040584802627563,10.046935081481934,0.496200293302536,681
68,0,deviation,1.5079987049102783,10.357686042785645,0.497683048248291,557
69,0,deviation,1.5031468868255615,10.882713317871094,0.4927586019039154,462
70,0,deviation,1.5022060871124268,11.146271705627441,0.49394774436950684,360
71,0,deviation,1.5036811828613281,9.44061279296875,0.4969508945941925,220
72,1,success,0.13643571734428406,0.17256325483322144,0.09806395322084427,1578
73,1,success,0.0372656024992466,0.19958674907684326,0.09155245870351791,1232
74,1,success,0.039607129991054535,0.16744887828826904,0.088943250477314,1255
75,1,success,0.0427892729640007,0.17656731605529785,0.07311199605464935,1254
76,1,success,0.0928146094083786,0.19964374601840973,0.027097992599010468,1256
77,1,success,0.06360665708780289,0.18659359216690063,0.08467238396406174,1256
78,1,success,0.08535762876272202,0.19804231822490692,0.07099206000566483,1245
79,1,success,0.08482281863689423,0.19886887073516846,0.0995335802435875,1245
80,1,success,0.07954145222902298,0.1970672607421875,0.0862012431025505,1244
81,1,success,0.014034758321940899,0.1465650498867035,0.09655647724866867,2686
