success,reason,path_type,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,right_arc,4.599999904632568,0.1120401918888092,0.1195698231458664,0.09883773326873779,589
1,success,right_arc,4.25,0.12249583005905151,0.12739141285419464,0.09944146126508713,605
1,success,right_arc,4.300000190734863,0.1294141709804535,0.13035939633846283,0.09853220731019974,606
1,success,right_arc,4.300000190734863,0.1274990439414978,0.1288362443447113,0.09972785413265228,609
0,deviation,right_arc,5.450000286102295,1.5014172792434692,1.5014351606369019,0.4558418393135071,612
1,success,right_arc,4.349999904632568,0.16843727231025696,0.1743914932012558,0.0990745946764946,613
1,success,right_arc,4.200000286102295,0.16052117943763733,0.16574768722057343,0.09953559935092926,620
1,success,right_arc,5.200000286102295,0.18072140216827393,0.18091145157814026,0.09882920235395432,624
1,success,right_arc,4.5,0.13479304313659668,0.13479316234588623,0.09970218688249588,631
1,success,right_arc,5.599999904632568,0.03673500195145607,0.19139814376831055,0.09410633146762848,633
0,deviation,right_arc,6.0,1.5001568794250488,1.500244379043579,0.44690537452697754,637
1,success,right_arc,5.349999904632568,0.05982450023293495,0.12514826655387878,0.09902667999267578,650
1,success,right_arc,5.5,0.05983249843120575,0.17993701994419098,0.09856483340263367,651
0,deviation,right_arc,5.650000095367432,1.5009124279022217,1.5163275003433228,0.3930065929889679,652
1,success,right_arc,5.349999904632568,0.0724935382604599,0.19977571070194244,0.09161796420812607,674
1,success,right_arc,5.400000095367432,0.12578798830509186,0.12581676244735718,0.09965182095766068,694
0,deviation,right_arc,5.75,1.5000087022781372,1.586832046508789,0.3358132243156433,695
1,success,right_arc,5.950000286102295,0.10268719494342804,0.10783261060714722,0.0990053191781044,710
1,success,right_arc,5.950000286102295,0.11602620035409927,0.11625541001558304,0.09974712133407593,714
1,success,right_arc,5.950000286102295,0.0078056976199150085,0.199196919798851,0.07958891987800598,782
1,success,right_arc,5.300000190734863,0.07077576220035553,0.10963841527700424,0.09992076456546783,1271
0,deviation,right_arc,5.150000095367432,1.5008691549301147,2.01289963722229,0.29779648780822754,1441
0,deviation,right_arc,5.050000190734863,1.5032941102981567,2.433856964111328,0.34802886843681335,1454
0,deviation,right_arc,5.0,1.5004974603652954,2.513939380645752,0.3457484841346741,1456
0,deviation,right_arc,5.150000095367432,1.5057753324508667,2.590498924255371,0.3573971390724182,1458
0,deviation,right_arc,4.900000095367432,1.5014095306396484,2.506936550140381,0.34320563077926636,1460
0,deviation,right_arc,5.25,1.5010067224502563,2.9955637454986572,0.3919369578361511,1460
0,deviation,right_arc,5.050000190734863,1.501197099685669,2.113542079925537,0.32761603593826294,1463
0,deviation,right_arc,4.800000190734863,1.5042695999145508,2.7137668132781982,0.3662276268005371,1464
0,deviation,right_arc,5.25,1.5004152059555054,3.217714786529541,0.44248679280281067,1483
0,deviation,right_arc,5.349999904632568,1.5067775249481201,3.3098561763763428,0.47372615337371826,1501
0,deviation,right_arc,4.950000286102295,1.5019278526306152,2.149343967437744,0.3510269224643707,1525
0,deviation,right_arc,3.9000000953674316,1.5010435581207275,1.6711043119430542,0.3694913983345032,1541
0,deviation,right_arc,3.9000000953674316,1.5006698369979858,1.8121631145477295,0.298784077167511,1553
0,deviation,right_arc,4.0,1.5004467964172363,1.6196002960205078,0.37787601351737976,1602
0,deviation,right_arc,4.550000190734863,1.5007423162460327,1.6931124925613403,0.16401392221450806,1611
0,deviation,right_arc,3.0,1.5020850896835327,1.7468925714492798,0.39405113458633423,1616
0,deviation,right_arc,3.049999952316284,1.5010027885437012,1.6520501375198364,0.34993574023246765,1664
0,deviation,right_arc,4.0,1.5019575357437134,1.7361334562301636,0.3906780779361725,1685
0,deviation,right_arc,3.9000000953674316,1.500273585319519,1.5183554887771606,0.369503378868103,1734
0,deviation,right_arc,5.050000190734863,1.500836968421936,1.5505062341690063,0.3817635476589203,1735
0,deviation,right_arc,4.099999904632568,1.5008885860443115,1.5891348123550415,0.35585758090019226,1761
0,deviation,right_arc,3.950000047683716,1.501918077468872,1.6491637229919434,0.3197771906852722,1777
0,deviation,right_arc,4.099999904632568,1.500852346420288,1.6676537990570068,0.34655919671058655,1847
0,deviation,right_arc,5.150000095367432,1.5010854005813599,1.705056071281433,0.3599088788032532,1910
0,deviation,right_arc,4.0,1.5002291202545166,1.549686074256897,0.4202909469604492,1925
0,deviation,right_arc,6.0,1.5002143383026123,1.710791826248169,0.34652987122535706,1967
0,deviation,right_arc,6.0,1.5018513202667236,1.7034932374954224,0.3462151885032654,1975
0,deviation,right_arc,3.950000047683716,1.5010653734207153,1.7960845232009888,0.22001290321350098,1993
0,timeout,right_arc,3.3500001430511475,0.2897939682006836,1.0255100727081299,0.0023398420307785273,2001
0,timeout,right_arc,4.700000286102295,0.11335179209709167,1.2384850978851318,0.0040975348092615604,2001
0,timeout,right_arc,4.099999904632568,0.19701889157295227,1.1809008121490479,0.005432039964944124,2001
0,timeout,right_arc,3.3500001430511475,0.42026853561401367,1.060494303703308,0.011315446346998215,2001
0,timeout,right_arc,4.650000095367432,0.13789501786231995,1.3043065071105957,0.008769446983933449,2001
