success,reason,path_type,curvature,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,right_arc,-0.3333333432674408,3.0,0.13637758791446686,0.16751869022846222,0.09917759895324707,548
1,success,s_curve,0.5,3.1000001430511475,0.18874062597751617,0.19952185451984406,0.04372607171535492,554
1,success,straight,0.0,3.0,0.0360054075717926,0.04879578575491905,0.0967847928404808,567
1,success,s_curve,0.5,3.799999952316284,0.12187031656503677,0.19918742775917053,0.07357954978942871,573
1,success,right_arc,-0.20000000298023224,3.049999952316284,0.009890282526612282,0.031290728598833084,0.09564213454723358,582
1,success,straight,0.0,3.1500000953674316,0.0006567416712641716,0.040121372789144516,0.09829065948724747,590
1,success,s_curve,0.5,3.6000001430511475,0.16994744539260864,0.19967031478881836,0.05540537089109421,590
1,success,straight,0.0,3.4000000953674316,0.06480120122432709,0.07344069331884384,0.09942690283060074,634
1,success,s_curve,0.20000000298023224,3.25,0.10289818048477173,0.19934499263763428,0.06719976663589478,642
1,success,right_arc,-0.4000000059604645,3.1500000953674316,0.09794749319553375,0.19946585595607758,0.06363581120967865,657
1,success,s_curve,0.5,4.400000095367432,0.163618803024292,0.19926141202449799,0.07566780596971512,660
1,success,s_curve,-0.20000000298023224,3.1500000953674316,0.1514306515455246,0.19957835972309113,0.04612189531326294,662
1,success,left_arc,0.20000000298023224,3.1500000953674316,0.14878156781196594,0.1523231863975525,0.09858042001724243,665
1,success,right_arc,-0.20000000298023224,3.3500001430511475,0.1969631314277649,0.1985820084810257,0.09812702238559723,669
1,success,s_curve,-0.20000000298023224,3.4000000953674316,0.12694919109344482,0.19976763427257538,0.06552456319332123,679
1,success,s_curve,-0.5,4.400000095367432,0.17452576756477356,0.19961972534656525,0.033422987908124924,680
1,success,left_arc,0.25,3.700000047683716,0.007497164886444807,0.047122251242399216,0.09929949790239334,681
1,success,right_arc,-0.25,3.700000047683716,0.01369474083185196,0.035766422748565674,0.09984035044908524,691
1,success,straight,0.0,3.75,0.05761272832751274,0.06983683258295059,0.09712362289428711,693
1,success,left_arc,0.25,3.450000047683716,0.17021453380584717,0.17843322455883026,0.09526385366916656,693
1,success,left_arc,0.3333333432674408,3.6500000953674316,0.04714664816856384,0.047196485102176666,0.0968024954199791,696
1,success,left_arc,0.3333333432674408,3.5,0.13846147060394287,0.14557930827140808,0.08881247788667679,697
1,success,straight,0.0,3.799999952316284,0.003033184912055731,0.037897877395153046,0.09444765746593475,703
1,success,right_arc,-0.20000000298023224,3.950000047683716,0.0370006188750267,0.0749460756778717,0.09927722066640854,715
