Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.064906,0.0039485,-0.001571,0,0,0,39.662,0.49779,-0.0005267,-0.0012141,0.42848,-2.2931E-05,0.40253,0,0,0,0,0,0,package://12.26urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://12.26urdf/meshes/base_link.STL,,RT.G-800-02-00 主轴组件（2023.9.18）-1;RT-800-06-00 外护罩组件右-1;RT-800-06-00 外护罩组件-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00015016,-0.00091654,-0.00085687,0,0,0,20.212,0.74053,8.7927E-06,-0.00091772,1.1526,2.2539E-06,0.74558,0,0,0,0,0,0,package://12.26urdf/meshes/link1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://12.26urdf/meshes/link1.STL,,RT.G-800-05-00 球壳组件-1;RT.G-800-03-00 主轴动力座组件-1;RT.G-800-04-00 主轴从动座组件-1,坐标系1,基准轴1,joint1,continuous,0,0,0,0,0.00011905,0,base_link,0,1,0,,,,,,,,,,,,
link2,0.0057845,0.00037629,-0.27664,0,0,0,53.08,0.19784,-2.4219E-05,-4.2923E-06,0.47681,-4.5624E-05,0.59029,0,0,0,0,0,0,package://12.26urdf/meshes/link2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://12.26urdf/meshes/link2.STL,,RT.G-800-01-00 重摆组件（2023.9.18）-1,坐标系2,基准轴2,joint2,revolute,0,0,0,0,0,0,base_link,-1,0,0,50,1,-0.5236,0.5236,,,,,,,,
