action_joint1,action_joint2,distance_m,mean_speed_mps,trajectory_curvature_inv_m,turn_radius_m
-0.9,-0.9,9.833404541015625,0.9932732081625605,-0.30163827538490295,3.315229139020764
-0.9,-0.9,9.833417892456055,0.9932745567929371,-0.30164623260498047,3.3151416855570206
-0.9,-0.9,9.833312034606934,0.9932638640806657,-0.3015671670436859,3.3160108568952302
-0.9,-0.9,9.83336067199707,0.993268776948466,-0.3015875518321991,3.315786722379019
-0.9,-0.9,9.833338737487793,0.9932665613414188,-0.30157819390296936,3.3158896107778366
-0.9,-0.9,9.833389282226562,0.9932716668707016,-0.3016199469566345,3.315430594329278
-0.9,-0.6,10.203092575073242,1.03061543465961,-0.1820782870054245,5.49214305805836
-0.9,-0.6,10.203036308288574,1.03060975114588,-0.18207119405269623,5.492357015632981
-0.9,-0.6,10.203107833862305,1.030616975951469,-0.18215015530586243,5.489976104169785
-0.9,-0.6,10.202963829040527,1.03060243000955,-0.1820254921913147,5.493736003465754
-0.9,-0.6,10.203140258789062,1.0306202511966691,-0.18205896019935608,5.4927260866753915
-0.9,-0.6,10.203130722045898,1.0306192878892573,-0.182232066988945,5.487508409047813
-0.9,-0.3,10.417731285095215,1.052296112924208,-0.07833541929721832,12.765617507015882
-0.9,-0.3,10.417855262756348,1.052308635920562,-0.07854823768138885,12.731030377234537
-0.9,-0.3,10.41751480102539,1.0522742458459593,-0.07801955193281174,12.817299961696424
-0.9,-0.3,10.41765022277832,1.0522879248112074,-0.07813773304224014,12.797914158315987
-0.9,-0.3,10.417701721191406,1.0522931266712314,-0.0782097578048706,12.786128330622752
-0.9,-0.3,10.417657852172852,1.0522886954571369,-0.07815755158662796,12.794668969275783
-0.9,0.0,10.492133140563965,1.0598114520284263,-6.793365173507482e-05,
-0.9,0.0,10.49207878112793,1.0598059611761788,-4.412748967297375e-05,
-0.9,0.0,10.492114067077637,1.0598095254136026,7.082708179950714e-05,
-0.9,0.0,10.492165565490723,1.0598147272736267,-7.159856613725424e-05,
-0.9,0.0,10.492215156555176,1.0598197364721682,-9.601858437235933e-06,
-0.9,0.0,10.492432594299316,1.0598416998811582,3.8717702409485355e-05,
-0.9,0.3,10.417715072631836,1.052294475301608,0.0783485546708107,12.763477312397148
-0.9,0.3,10.417604446411133,1.0522833009356305,0.07799817621707916,12.820812594603094
-0.9,0.3,10.41795539855957,1.0523187506483864,0.07839595526456833,12.755760123404707
-0.9,0.3,10.417594909667969,1.0522823376282187,0.07826846092939377,12.776538443781375
-0.9,0.3,10.417529106140137,1.052275690807077,0.0778467208147049,12.845756244251518
-0.9,0.3,10.417702674865723,1.0522932230019726,0.07816704362630844,12.793115277337073
-0.9,0.6,10.203083038330078,1.030614471352198,0.1821371614933014,5.490367763509798
-0.9,0.6,10.203036308288574,1.03060975114588,0.1820911318063736,5.49175563949676
-0.9,0.6,10.203062057495117,1.030612352075892,0.18211588263511658,5.491009271297761
-0.9,0.6,10.203166961669922,1.0306229484574223,0.1822083294391632,5.488223305037687
-0.9,0.6,10.203036308288574,1.03060975114588,0.18206331133842468,5.492594815773566
-0.9,0.6,10.203052520751953,1.0306113887684802,0.18209786713123322,5.491552513788236
-0.9,0.9,9.833303451538086,0.993262997103995,0.30157822370529175,3.3158892830976416
-0.9,0.9,9.833322525024414,0.9932649237188187,0.30154022574424744,3.3163071279523217
-0.9,0.9,9.833592414855957,0.9932921853185738,0.3018028736114502,3.3134210686390917
-0.9,0.9,9.833416938781738,0.9932744604621959,0.3016233742237091,3.31539292196339
-0.9,0.9,9.83358383178711,0.9932913183419031,0.30178549885749817,3.313611832860782
-0.9,0.9,9.833540916442871,0.9932869834585498,0.3017691969871521,3.313790837447784
-0.65,-0.9,7.069860458374023,0.714127334989669,-0.6264943480491638,1.5961835938566609
-0.65,-0.9,7.070102691650391,0.7141518029979297,-0.6263940334320068,1.5964392165758823
-0.65,-0.9,7.069645881652832,0.7141056605729025,-0.6253947615623474,1.5989900483045654
-0.65,-0.9,7.069845199584961,0.71412579369781,-0.6261168718338013,1.5971459083527837
-0.65,-0.9,7.069845676422119,0.7141258418631806,-0.6260992288589478,1.5971909146453962
-0.65,-0.9,7.069860935211182,0.7141273831550395,-0.6260488033294678,1.5973195614811113
-0.65,-0.6,7.3697381019592285,0.7444180067359308,-0.4136192500591278,2.41768244552701
-0.65,-0.6,7.369709014892578,0.7444150686483247,-0.41363608837127686,2.4175840264266473
-0.65,-0.6,7.369661331176758,0.7444102521112655,-0.41359958052635193,2.4177974231196937
-0.65,-0.6,7.369810581207275,0.7444253278722608,-0.4138262867927551,2.416472882257481
-0.65,-0.6,7.369779586791992,0.7444221971231724,-0.41386446356773376,2.4162499756066596
-0.65,-0.6,7.369745254516602,0.7444187292164898,-0.41339007019996643,2.419022787645278
-0.65,-0.3,7.538031578063965,0.7614173481365761,-0.2072201371192932,4.825785823239353
-0.65,-0.3,7.538136005401611,0.7614278963527358,-0.20737820863723755,4.822107426674128
-0.65,-0.3,7.538302421569824,0.7614447060670725,-0.20724992454051971,4.825092227256704
-0.65,-0.3,7.538304328918457,0.7614448987285548,-0.2072431743144989,4.825249387863865
-0.65,-0.3,7.537988185882568,0.7614129650878523,-0.20723919570446014,4.825342023745744
-0.65,-0.3,7.5382399559021,0.7614383964035248,-0.2074253112077713,4.821012412503178
-0.65,0.0,7.5907392501831055,0.7667413555403387,-1.3499869737643166e-06,
-0.65,0.0,7.590779781341553,0.766745449596839,2.5517563699395396e-05,
-0.65,0.0,7.590754985809326,0.7667429449975682,4.880810956819914e-05,
-0.65,0.0,7.590725898742676,0.7667400069099621,-0.0001151111428043805,8687.256295417
-0.65,0.0,7.590817451477051,0.7667492546611158,-0.00010242543794447556,9763.19965106809
-0.65,0.0,7.590721607208252,0.7667395734216268,-6.910352385602891e-05,
-0.65,0.3,7.538045883178711,0.7614187930976939,0.2072029411792755,4.826186319115919
-0.65,0.3,7.538163185119629,0.7614306417788596,0.2069704830646515,4.831606832012029
-0.65,0.3,7.538123607635498,0.7614266440531005,0.20761236548423767,4.816668783998427
-0.65,0.3,7.5380940437316895,0.7614236578001238,0.20719796419143677,4.826302246271437
-0.65,0.3,7.538147926330566,0.7614291004870006,0.2072180062532425,4.825835447803186
-0.65,0.3,7.538153648376465,0.7614296784714477,0.20710726082324982,4.828415942661824
-0.65,0.6,7.369889736175537,0.7444333233237791,0.4140273332595825,2.415299473411893
-0.65,0.6,7.369676113128662,0.7444117452377539,0.41374966502189636,2.41692038577742
-0.65,0.6,7.369873523712158,0.744431685701179,0.41404640674591064,2.415188210083112
-0.65,0.6,7.369739532470703,0.7444181512320426,0.4137845039367676,2.416716891246403
-0.65,0.6,7.369714736938477,0.7444156466327718,0.4137381613254547,2.4169875865363553
-0.65,0.6,7.369816303253174,0.744425905856708,0.4137769043445587,2.41676127763594
-0.65,0.9,7.069808006286621,0.7141220367989038,0.6259384155273438,1.597601257876967
-0.65,0.9,7.06992769241333,0.7141341263069224,0.6262762546539307,1.5967394461611555
-0.65,0.9,7.069788455963135,0.7141200620187095,0.6260266900062561,1.5973759840654824
-0.65,0.9,7.069821834564209,0.714123433594651,0.6259564757347107,1.5975551636018448
-0.65,0.9,7.069977283477783,0.7141391355054639,0.6263148784637451,1.5966409778622017
-0.65,0.9,7.069867134094238,0.7141280093048572,0.6261007189750671,1.597187113340182
-0.4,-0.9,4.2425217628479,0.42853756138137916,-0.43038487434387207,2.3235017297587754
-0.4,-0.9,4.242415428161621,0.42852682050373714,-0.4302976131439209,2.3239729188679736
-0.4,-0.9,4.242505073547363,0.42853587559340844,-0.4305846095085144,2.322423927649058
-0.4,-0.9,4.242319583892822,0.4285171392642481,-0.430501252412796,2.3228736139450925
-0.4,-0.9,4.242579936981201,0.42854343755659136,-0.4304005205631256,2.3234172642068933
-0.4,-0.9,4.242462635040283,0.42853158887542575,-0.43053483963012695,2.3226924001298044
-0.4,-0.6,4.489853382110596,0.45352055378450923,-0.28383082151412964,3.523225542121817
-0.4,-0.6,4.489865303039551,0.453521757918774,-0.2836378812789917,3.5256221612245815
-0.4,-0.6,4.489855766296387,0.4535207946113622,-0.2835645079612732,3.526534428407985
-0.4,-0.6,4.4898576736450195,0.45352098727284457,-0.284065842628479,3.52031061090252
-0.4,-0.6,4.489838123321533,0.4535190124926503,-0.2840476334095001,3.520536284695391
-0.4,-0.6,4.489850997924805,0.45352031295765627,-0.2836611270904541,3.52533323919678
-0.4,-0.3,4.634791374206543,0.4681607553335561,-0.1388283222913742,7.203141142202889
-0.4,-0.3,4.634792327880859,0.4681608516642973,-0.1388576328754425,7.201620676459434
-0.4,-0.3,4.634889602661133,0.46817067739989804,-0.13823917508125305,7.233839462744395
-0.4,-0.3,4.634940147399902,0.46817578292918083,-0.13913850486278534,7.187083122577558
-0.4,-0.3,4.634810924530029,0.46816273011375037,-0.13861067593097687,7.214451508035095
-0.4,-0.3,4.634911060333252,0.4681728448415747,-0.1386573165655136,7.212024758372662
-0.4,0.0,4.680246829986572,0.4727522156159842,-6.505032160930568e-06,
-0.4,0.0,4.680001258850098,0.4727274104501293,0.0009477843996137381,1055.0922766902916
-0.4,0.0,4.680193901062012,0.47274686925984843,-0.0016702440334483981,598.7149063094646
-0.4,0.0,4.680215358734131,0.47274903670152507,5.985541065456346e-05,
-0.4,0.0,4.680000305175781,0.47272731411938806,-0.00010439268953632563,9579.214832395222
-0.4,0.0,4.680286884307861,0.4727562615071139,-4.168984742136672e-05,
-0.4,0.3,4.634759902954102,0.468157576419097,0.13831818103790283,7.229707566252434
-0.4,0.3,4.634843826293945,0.4681660535243212,0.13838109374046326,7.2264206978702
-0.4,0.3,4.63474702835083,0.46815627595409104,0.13869708776474,7.209956720188779
-0.4,0.3,4.634876251220703,0.4681693287695215,0.13851948082447052,7.219201184179882
-0.4,0.3,4.634816646575928,0.46816330809819745,0.13877320289611816,7.206002161300353
-0.4,0.3,4.634831428527832,0.46816480122468584,0.1380416601896286,7.244189896197238
-0.4,0.6,4.489876747131348,0.45352291388766824,0.2839006185531616,3.522359356229249
-0.4,0.6,4.489960193634033,0.45353134282752183,0.28388234972953796,3.522586032392383
-0.4,0.6,4.489744663238525,0.45350957208001424,0.28328457474708557,3.530019242638936
-0.4,0.6,4.490001201629639,0.4535354850493928,0.28423169255256653,3.51825650060138
-0.4,0.6,4.4898152351379395,0.4535167005548619,0.2823490798473358,3.5417151015356345
-0.4,0.6,4.48971700668335,0.4535067784885199,0.2849327325820923,3.5096002868392415
-0.4,0.9,4.24246883392334,0.4285322150252434,0.4297984540462494,2.326671933288045
-0.4,0.9,4.242452144622803,0.4285305292372727,0.430207759141922,2.324458308224302
-0.4,0.9,4.242414474487305,0.4285267241729959,0.43006202578544617,2.325245987886618
-0.4,0.9,4.242500305175781,0.4285353939397025,0.43079495429992676,2.321289954811734
-0.4,0.9,4.242456436157227,0.42853096272560803,0.4306866228580475,2.321873833377908
-0.4,0.9,4.242461681365967,0.42853149254468453,0.43017953634262085,2.3246108090170514
0.4,-0.9,4.242347717285156,0.42851998102111305,0.43009254336357117,2.3250809981020004
0.4,-0.9,4.242452144622803,0.4285305292372727,0.4305335283279419,2.3226994744954905
0.4,-0.9,4.2425761222839355,0.42854305223362665,0.4310649335384369,2.319836113300626
0.4,-0.9,4.242372035980225,0.4285224374550132,0.431122750043869,2.3195250074329055
0.4,-0.9,4.242342472076416,0.42851945120203655,0.43019530177116394,2.3245256186733885
0.4,-0.9,4.242377281188965,0.42852296727408973,0.43099352717399597,2.3202204602861496
0.4,-0.6,4.489820957183838,0.45351727853930895,0.28371986746788025,3.5246033664287166
0.4,-0.6,4.489914417266846,0.453526718951945,0.28355899453163147,3.5266029972061013
0.4,-0.6,4.489875793457031,0.4535228175569271,0.2830899953842163,3.5324455696245174
0.4,-0.6,4.489855766296387,0.4535207946113622,0.2835089862346649,3.5272250565358942
0.4,-0.6,4.489843368530273,0.4535195423117268,0.2835753858089447,3.526399151842245
0.4,-0.6,4.48985481262207,0.453520698280621,0.2840292453765869,3.5207642039612024
0.4,-0.3,4.634819030761719,0.4681635489250504,0.13837870955467224,7.226545204953719
0.4,-0.3,4.6349568367004395,0.46817746871715155,0.13891157507896423,7.19882413997214
0.4,-0.3,4.634842395782471,0.4681659090282094,0.13863664865493774,7.213099924890485
0.4,-0.3,4.634862899780273,0.4681679801391449,0.13850772380828857,7.21981397502511
0.4,-0.3,4.634850025177002,0.46816667967413894,0.13834309577941895,7.228405540341885
0.4,-0.3,4.634808540344238,0.4681624892868974,0.13894686102867126,7.1969959781506185
0.4,0.0,4.68021297454834,0.4727487958746721,0.00010414741700515151,9601.774376704287
0.4,0.0,4.679905891418457,0.47271777737601084,-0.0004086366679985076,2447.161692312086
0.4,0.0,4.679994583129883,0.472726736134941,0.0013711483916267753,729.3156642320583
0.4,0.0,4.679947376251221,0.47272196776325237,-0.000499359390232712,2002.5657263278435
0.4,0.0,4.680231094360352,0.4727506261587546,-8.471440378343686e-05,
0.4,0.0,4.679869651794434,0.47271411680784586,-0.0007443902431987226,1343.3813905229274
0.4,0.3,4.63489294052124,0.4681710145574922,-0.13828332722187042,7.231529788081664
0.4,0.3,4.634891510009766,0.4681708700613804,-0.1383824348449707,7.226350664521086
0.4,0.3,4.634772300720215,0.46815882871873243,-0.1384943127632141,7.220513103016119
0.4,0.3,4.634810924530029,0.46816273011375037,-0.13862229883670807,7.213846606150739
0.4,0.3,4.634746074676514,0.4681561796233499,-0.1383243054151535,7.22938746736298
0.4,0.3,4.6348652839660645,0.46816822096599786,-0.1378638595342636,7.253532603673175
0.4,0.6,4.489867687225342,0.453521998745627,-0.2836895287036896,3.5249803000113142
0.4,0.6,4.489895820617676,0.4535248405024919,-0.2839192748069763,3.5221279030099457
0.4,0.6,4.489859104156494,0.45352113176895636,-0.2837412655353546,3.5243375619447868
0.4,0.6,4.489856243133545,0.45352084277673277,-0.2831834852695465,3.5312793719173134
0.4,0.6,4.489825248718262,0.4535177120276443,-0.2833935618400574,3.5286616728589744
0.4,0.6,4.489820957183838,0.45351727853930895,-0.28227606415748596,3.542631228704129
0.4,0.9,4.242544651031494,0.42853987331916754,-0.43040400743484497,2.323398441292118
0.4,0.9,4.242391109466553,0.4285243640698369,-0.43118926882743835,2.3191671785324495
0.4,0.9,4.242393970489502,0.42852465306206045,-0.42920511960983276,2.329888331502304
0.4,0.9,4.242466449737549,0.42853197419839045,-0.429870069026947,2.326284317174252
0.4,0.9,4.2424139976501465,0.42852667600762534,-0.43010151386260986,2.3250325045808524
0.4,0.9,4.242491722106934,0.42853452696303185,-0.4298335909843445,2.3264817384559
0.65,-0.9,7.0695719718933105,0.7140981949404608,0.6253215670585632,1.59917721166068
0.65,-0.9,7.069828033447266,0.7141240597444687,0.6260817050933838,1.59723561935234
0.65,-0.9,7.069807052612305,0.7141219404681626,0.6260437965393066,1.5973323360568021
0.65,-0.9,7.069596290588379,0.714100651374361,0.6254934668540955,1.5987377214816907
0.65,-0.9,7.069953441619873,0.7141367272369343,0.6264266967773438,1.5963559745210518
0.65,-0.9,7.069763660430908,0.7141175574194387,0.6258394718170166,1.5978538347807834
0.65,-0.6,7.369724273681641,0.7444166099401837,0.4137870967388153,2.416701748027695
0.65,-0.6,7.3699049949646,0.744434864615638,0.4143925905227661,2.413170560647516
0.65,-0.6,7.369626998901367,0.7444067842045828,0.4135258197784424,2.4182286865080806
0.65,-0.6,7.369737148284912,0.7444179104051897,0.41372740268707275,2.417050438296351
0.65,-0.6,7.369685649871826,0.7444127085451657,0.4134894013404846,2.4184416740988186
0.65,-0.6,7.369525909423828,0.7443965731460174,0.41398751735687256,2.4155317686498337
0.65,-0.3,7.538109302520752,0.7614251990919827,0.20712602138519287,4.827978606030852
0.65,-0.3,7.53801155090332,0.7614153251910113,0.20709148049354553,4.828783866998175
0.65,-0.3,7.53801155090332,0.7614153251910113,0.20623263716697693,4.848893044946842
0.65,-0.3,7.538120269775391,0.7614263068955063,0.20727601647377014,4.824484843988429
0.65,-0.3,7.538155555725098,0.7614298711329301,0.20719410479068756,4.826392145713913
0.65,-0.3,7.538045883178711,0.7614187930976939,0.20717670023441315,4.826797602570826
0.65,0.0,7.590945720672607,0.766762211145805,6.998542812652886e-05,
0.65,0.0,7.5908966064453125,0.7667572501126341,-0.0002720786433201283,3675.407918082706
0.65,0.0,7.590567588806152,0.7667240160069255,-0.0004518302157521248,2213.2207301262088
0.65,0.0,7.590780735015869,0.7667455459275802,0.0006798901013098657,1470.8259438891896
0.65,0.0,7.590597152709961,0.7667270022599022,0.00032674186513759196,3060.5199599350303
0.65,0.0,7.5909342765808105,0.7667610551769108,-0.00046704974374733865,2141.0995582110268
0.65,0.3,7.538101673126221,0.7614244284460532,-0.20690901577472687,4.833042176802747
0.65,0.3,7.538197994232178,0.7614341578509128,-0.20740842819213867,4.82140484220642
0.65,0.3,7.538227081298828,0.7614370959385189,-0.2076447755098343,4.815916979103762
0.65,0.3,7.53803014755249,0.7614172036404644,-0.2071455866098404,4.827522595900169
0.65,0.3,7.538050174713135,0.7614192265860292,-0.20695212483406067,4.832035432358207
0.65,0.3,7.538235187530518,0.7614379147498189,-0.20721371471881866,4.825935394078345
0.65,0.6,7.369736194610596,0.7444178140744485,-0.41349661350250244,2.4183994919076843
0.65,0.6,7.369838237762451,0.7444281214637551,-0.41404300928115845,2.415208028113195
0.65,0.6,7.369853973388672,0.7444297109209848,-0.4138757586479187,2.4161840337469322
0.65,0.6,7.369585037231445,0.7444025456519708,-0.4135286808013916,2.418211955848057
0.65,0.6,7.369717121124268,0.7444158874596248,-0.4134804606437683,2.4184939681141167
0.65,0.6,7.369577884674072,0.7444018231714119,-0.41331231594085693,2.4194778656029583
0.65,0.9,7.069871425628662,0.7141284427931925,-0.6260702610015869,1.5972648156138265
0.65,0.9,7.069750785827637,0.7141162569544328,-0.6260444521903992,1.597330663184073
0.65,0.9,7.069918155670166,0.7141331629995106,-0.626221239566803,1.5968797236768326
0.65,0.9,7.070044040679932,0.7141458786573469,-0.6263766288757324,1.596483575376806
0.65,0.9,7.0697855949401855,0.714119773026486,-0.6261608004570007,1.5970338597851452
0.65,0.9,7.06934928894043,0.7140757017123942,-0.6253968477249146,1.5989847144862128
0.9,-0.9,9.832711219787598,0.9932031757137196,0.30112290382385254,3.3209031505121533
0.9,-0.9,9.833514213562012,0.9932842861977967,0.30177968740463257,3.313675643977916
0.9,-0.9,9.833702087402344,0.9933032633538099,0.30194634199142456,3.311846712249293
0.9,-0.9,9.833282470703125,0.9932608778276889,0.3015650808811188,3.3160337963473103
0.9,-0.9,9.83351993560791,0.9932848641822438,0.3017142117023468,3.314394752430622
0.9,-0.9,9.833571434020996,0.9932900660422678,0.3017866313457489,3.3135993981599756
0.9,-0.6,10.203107833862305,1.030616975951469,0.18217559158802032,5.489209565798709
0.9,-0.6,10.203292846679688,1.0306356641152585,0.18228010833263397,5.486062133423519
0.9,-0.6,10.20299243927002,1.0306053199317855,0.18189126253128052,5.497790196645791
0.9,-0.6,10.203248023986816,1.0306311365704228,0.18235482275485992,5.483814383918448
0.9,-0.6,10.203317642211914,1.0306381687145294,0.18221086263656616,5.4881470046853265
0.9,-0.6,10.20400333404541,1.0307074305174406,0.1830865442752838,5.461897836120758
0.9,-0.3,10.41761302947998,1.0522841679123012,0.07814136892557144,12.797318677031189
0.9,-0.3,10.417909622192383,1.0523141267728096,0.07864771038293839,12.714928319349234
0.9,-0.3,10.417401313781738,1.0522627824877584,0.07780531793832779,12.852591911424971
0.9,-0.3,10.417708396911621,1.0522938009864196,0.07823992520570755,12.781198312380935
0.9,-0.3,10.41777229309082,1.052300255146079,0.07836848497390747,12.760231365107373
0.9,-0.3,10.41771411895752,1.0522943789708668,0.07843464612960815,12.749467860766083
0.9,0.0,10.49228286743164,1.0598265759547922,3.71142705262173e-05,
0.9,0.0,10.492295265197754,1.0598278282544276,1.8157486920244992e-05,
0.9,0.0,10.492070198059082,1.0598050941995083,-0.0004466417885851115,2238.9306723131244
0.9,0.0,10.491959571838379,1.0597939198335309,8.007359429029748e-05,
0.9,0.0,10.492081642150879,1.0598062501684025,3.9371312595903873e-05,
0.9,0.0,10.492417335510254,1.0598401585892991,0.00023757779854349792,4209.147513490874
0.9,0.3,10.417634010314941,1.0522862871886072,-0.07824503630399704,12.780363422860555
0.9,0.3,10.417539596557617,1.05227675044523,-0.07829278707504272,12.7725686791749
0.9,0.3,10.417865753173828,1.052309695558715,-0.07834517955780029,12.76402716343557
0.9,0.3,10.41780948638916,1.0523040120449851,-0.07829548418521881,12.77212869179481
0.9,0.3,10.417854309082031,1.0523085395898208,-0.07860986143350601,12.721050282551044
0.9,0.3,10.417454719543457,1.0522681770092646,-0.07839101552963257,12.756563915439905
0.9,0.6,10.203938484191895,1.0307008800270403,-0.18297713994979858,5.465163573298604
0.9,0.6,10.2030668258667,1.0306128337295979,-0.18218643963336945,5.488882718232993
0.9,0.6,10.203261375427246,1.0306324852007995,-0.18243078887462616,5.4815308653148485
0.9,0.6,10.20299243927002,1.0306053199317855,-0.18201006948947906,5.494201517558369
0.9,0.6,10.202802658081055,1.03058615011429,-0.18183894455432892,5.499371998946161
0.9,0.6,10.202613830566406,1.0305670766275354,-0.18155840039253235,5.5078696322394505
0.9,0.9,9.833673477172852,0.9933003734315744,-0.3018345832824707,3.3130729723709424
0.9,0.9,9.832900047302246,0.9932222492004741,-0.3012055456638336,3.319991993494269
0.9,0.9,9.833131790161133,0.9932456575705819,-0.3013001084327698,3.3189500169832624
0.9,0.9,9.833022117614746,0.9932345795353457,-0.30143171548843384,3.3175009417294405
0.9,0.9,9.833312034606934,0.9932638640806657,-0.3015691041946411,3.315989556259623
0.9,0.9,9.832818984985352,0.9932140610874735,-0.30136772990226746,3.3182053046100743
