drive,stop_distance,k_cross,k_heading,success,reason,cross_track_m,endpoint_distance_m,terminal_speed_mps,steps
0.5,1.2,0.6,1.5,1,0,0.09663945436477661,0.13767389953136444,0.09925762563943863,566
0.5,1.2,0.6,1.5,1,0,0.0740431547164917,0.14840883016586304,0.09346776455640793,567
0.65,0.8,0.6,0.8,0,2,1.5090305805206299,1.805550217628479,0.7261336445808411,567
0.65,0.8,0.6,0.8,0,2,1.511425256729126,1.809714913368225,0.7213298082351685,567
0.65,0.8,1.2,1.5,0,2,1.5067815780639648,1.5118228197097778,0.6927951574325562,567
0.5,1.2,0.6,0.8,1,0,0.09116168320178986,0.0958065390586853,0.09873439371585846,569
0.65,0.8,0.6,1.5,0,2,1.510723352432251,1.6103700399398804,0.6893451809883118,570
0.65,0.8,1.2,0.8,0,2,1.509972095489502,1.6697001457214355,0.7205678224563599,571
0.65,1.6,1.2,0.8,1,0,0.038126252591609955,0.1979498267173767,0.09971927851438522,572
0.5,1.2,0.6,0.8,1,0,0.13547542691230774,0.14784114062786102,0.09955737739801407,573
0.5,0.8,0.6,1.5,1,0,0.028257302939891815,0.02978380024433136,0.09426088631153107,575
0.65,1.6,1.2,0.8,1,0,0.024215713143348694,0.19919970631599426,0.09696070104837418,575
0.5,1.6,0.6,0.8,1,0,0.10994074493646622,0.1655123084783554,0.09809248894453049,576
0.65,1.6,1.2,0.8,1,0,0.027512848377227783,0.19996847212314606,0.09916766732931137,576
0.5,1.6,0.6,0.8,1,0,0.1296374499797821,0.15379956364631653,0.09895429760217667,580
0.5,1.6,0.6,0.8,1,0,0.1188945546746254,0.1545914113521576,0.09974706918001175,580
0.65,0.8,0.6,0.8,0,2,1.508242130279541,1.7062894105911255,0.720122754573822,580
0.65,0.8,1.2,0.8,0,2,1.5008716583251953,1.5213059186935425,0.6849561929702759,581
0.5,1.6,1.2,0.8,1,0,0.166152685880661,0.19945907592773438,0.08945825695991516,583
0.65,1.6,1.2,0.8,1,0,0.006869044154882431,0.1998739093542099,0.09614120423793793,585
0.5,1.2,0.6,0.8,1,0,0.027466053143143654,0.051955077797174454,0.0989890769124031,588
0.5,1.2,0.6,1.5,1,0,0.14871864020824432,0.18874138593673706,0.09924286603927612,588
0.5,1.2,1.2,0.8,1,0,0.1552484631538391,0.15539945662021637,0.09748433530330658,588
0.65,0.8,0.6,1.5,0,2,1.5011072158813477,1.5934573411941528,0.7041941285133362,588
0.65,0.8,1.2,1.5,0,2,1.5077955722808838,1.5135610103607178,0.7151609659194946,588
0.5,1.6,0.6,0.8,1,0,0.06076597422361374,0.1484311819076538,0.09982306510210037,589
0.65,0.8,1.2,1.5,0,2,1.5019519329071045,1.644321322441101,0.7358284592628479,589
0.65,0.8,1.2,1.5,0,2,1.5002477169036865,1.6682844161987305,0.7213832139968872,589
0.5,1.2,0.6,0.8,1,0,0.02827175334095955,0.048100776970386505,0.09822995960712433,590
0.5,1.2,1.2,0.8,1,0,0.15774568915367126,0.15834400057792664,0.0970553532242775,590
0.65,0.8,0.6,0.8,0,2,1.5032685995101929,1.6682637929916382,0.7078855037689209,590
0.65,0.8,1.2,1.5,0,2,1.5010663270950317,1.7246928215026855,0.7192441821098328,590
0.5,1.6,1.2,0.8,1,0,0.17530596256256104,0.19821026921272278,0.09816907346248627,592
0.5,1.6,0.6,1.5,1,0,0.1610904484987259,0.19825239479541779,0.08851292729377747,594
0.5,1.6,0.6,1.5,1,0,0.17746445536613464,0.1986103057861328,0.09169531613588333,594
0.5,1.6,0.6,1.5,1,0,0.1589115709066391,0.19927525520324707,0.08692200481891632,595
0.5,1.6,0.6,1.5,1,0,0.1341945379972458,0.19887442886829376,0.08824706822633743,595
0.5,0.8,1.2,0.8,1,0,0.08366286754608154,0.08663328737020493,0.09922357648611069,596
0.5,1.6,1.2,0.8,1,0,0.18751654028892517,0.1997576653957367,0.09464043378829956,596
0.5,1.6,0.6,0.8,1,0,0.030105002224445343,0.15596641600131989,0.09794311970472336,597
0.5,1.6,0.6,1.5,1,0,0.18668724596500397,0.1998366415500641,0.08276595175266266,598
0.65,0.8,0.6,0.8,0,2,1.502129316329956,1.700394630432129,0.7236175537109375,599
0.5,0.8,1.2,0.8,1,0,0.08453403413295746,0.084751196205616,0.0995776504278183,600
0.65,1.2,0.6,1.5,0,2,1.5065966844558716,1.7910784482955933,0.694134533405304,602
