x,y,yaw
0.000000000,0.000000000,0.000000000
0.050000000,0.000000000,0.000000000
0.100000000,0.000000000,0.000000000
0.150000000,0.000000000,0.000000000
0.200000000,0.000000000,0.000000000
0.250000000,0.000000000,0.000000000
0.300000000,0.000000000,0.000000000
0.350000000,0.000000000,0.000000000
0.400000000,0.000000000,0.000000000
0.450000000,0.000000000,0.000000000
0.500000000,0.000000000,0.000000000
0.550000000,0.000000000,0.000000000
0.600000000,0.000000000,0.000000000
0.650000000,0.000000000,0.000000000
0.700000000,0.000000000,0.000000000
0.750000000,-0.000000000,-0.000000000
0.800000000,-0.000000000,-0.000000000
0.850000000,-0.000000000,-0.000000000
0.900000000,-0.000000000,-0.000000000
0.950000000,-0.000000000,-0.000000000
1.000000000,-0.000000000,-0.000000000
1.050000000,-0.000000000,-0.000000000
1.100000000,-0.000000000,-0.000000000
1.150000000,-0.000000000,-0.000000000
1.200000000,-0.000000000,-0.000000000
1.250000000,-0.000000000,-0.000000000
1.300000000,-0.000000000,-0.000000000
1.350000000,-0.000000000,-0.000000000
1.400000000,-0.000000000,-0.000000000
1.450000000,-0.000000000,-0.000000000
1.500000000,-0.000000000,-0.000000000
1.550000000,-0.000000000,-0.000000000
1.600000000,-0.000000000,-0.000000000
1.650000000,-0.000000000,-0.000000000
1.700000000,-0.000000000,-0.000000000
1.750000000,-0.000000000,-0.000000000
1.800000000,-0.000000000,-0.000000000
1.850000000,-0.000000000,-0.000000000
1.900000000,-0.000000000,-0.000000000
1.950000000,-0.000000000,-0.000000000
2.000000000,-0.000000000,-0.000000000
2.050000000,-0.000000000,-0.000000000
2.100000000,-0.000000000,-0.000000000
2.150000000,-0.000000000,-0.000000000
2.200000000,-0.000000000,-0.000000000
2.250000000,-0.000000000,-0.000000000
2.300000000,-0.000000000,-0.000000000
2.350000000,-0.000000000,-0.000000000
2.400000000,-0.000000000,-0.000000000
2.450000000,-0.000000000,-0.000000000
2.500000000,-0.000000000,-0.000000000
2.550000000,-0.000000000,-0.000000000
2.600000000,-0.000000000,-0.000000000
2.650000000,-0.000000000,-0.000000000
2.700000000,-0.000000000,-0.000000000
2.750000000,-0.000000000,-0.000000000
2.800000000,-0.000000000,-0.000000000
2.850000000,-0.000000000,-0.000000000
2.900000000,-0.000000000,-0.000000000
2.950000000,-0.000000000,-0.000000000
3.000000000,-0.000000001,-0.000000000
3.050000000,-0.000000001,-0.000000000
3.100000000,-0.000000001,-0.000000000
3.150000000,-0.000000001,-0.000000000
3.200000000,-0.000000001,-0.000000000
3.250000000,-0.000000001,-0.000000000
3.300000000,-0.000000001,-0.000000000
3.350000000,-0.000000001,-0.000000000
3.400000000,-0.000000001,0.000000000
3.450000000,-0.000000001,0.000000000
3.500000000,-0.000000001,0.000000000
3.550000000,-0.000000001,0.000000000
3.600000000,-0.000000001,0.000000000
3.650000000,-0.000000001,0.000000000
3.700000000,-0.000000001,0.000000000
3.750000000,-0.000000001,0.000000000
3.800000000,-0.000000001,0.000000000
3.850000000,-0.000000001,0.000000000
3.900000000,-0.000000001,0.000000000
3.950000000,-0.000000001,0.000000000
4.000000000,-0.000000001,0.000000000
4.050000000,-0.000000001,0.000000000
4.100000000,-0.000000001,0.000000000
4.150000000,-0.000000001,-0.000000000
4.200000000,-0.000000001,-0.000000000
4.250000000,-0.000000001,-0.000000000
4.300000000,-0.000000001,-0.000000000
4.350000000,-0.000000001,-0.000000000
4.400000000,-0.000000001,-0.000000000
4.450000000,-0.000000001,-0.000000000
4.500000000,-0.000000001,-0.000000000
4.550000000,-0.000000001,-0.000000000
4.600000000,-0.000000001,-0.000000000
4.650000000,-0.000000001,-0.000000000
4.699999971,-0.000031242,-0.000624835
4.749999885,-0.000123851,-0.001852171
4.799999800,-0.000216459,-0.001852171
4.849999714,-0.000309068,-0.001852171
4.899999628,-0.000401676,-0.001852171
4.949999542,-0.000494285,-0.001852171
4.999998432,-0.000728744,-0.004689252
5.049994470,-0.001358195,-0.012589359
5.099990508,-0.001987646,-0.012589359
5.149986545,-0.002617098,-0.012589359
5.199982583,-0.003246549,-0.012589359
5.249978621,-0.003876000,-0.012589359
5.299974659,-0.004505452,-0.012589359
5.349969824,-0.005199807,-0.013887563
5.399964711,-0.005914793,-0.014300201
5.449959599,-0.006629779,-0.014300201
5.499954487,-0.007344764,-0.014300201
5.549949375,-0.008059750,-0.014300201
5.599944262,-0.008774736,-0.014300201
5.649941236,-0.009322351,-0.010952523
5.699938411,-0.009853861,-0.010630401
5.749935586,-0.010385371,-0.010630401
5.799932761,-0.010916881,-0.010630401
5.849929936,-0.011448391,-0.010630401
5.899927111,-0.011979901,-0.010630401
5.949920764,-0.011904643,0.001505354
5.999908401,-0.010792807,0.022238543
6.049896037,-0.009680972,0.022238543
6.099883674,-0.008569136,0.022238543
6.149871311,-0.007457301,0.022238543
6.199858947,-0.006345465,0.022238543
6.249846584,-0.005233630,0.022238543
6.299750304,-0.002531843,0.054087187
6.349577254,0.001624482,0.083222521
6.399404204,0.005780806,0.083222521
6.449231155,0.009937130,0.083222521
6.499058105,0.014093455,0.083222521
6.548885055,0.018249779,0.083222521
6.598712005,0.022406104,0.083222521
6.648537605,0.026574533,0.083466030
6.698055515,0.033501044,0.138977163
6.747573426,0.040427554,0.138977163
6.797091336,0.047354065,0.138977163
6.846609247,0.054280575,0.138977163
6.896127157,0.061207086,0.138977163
6.945645068,0.068133597,0.138977163
6.994913983,0.076537124,0.168938750
7.043965960,0.086227505,0.195041867
7.093017938,0.095917885,0.195041867
7.142069916,0.105608266,0.195041867
7.191121894,0.115298646,0.195041867
7.240173872,0.124989026,0.195041867
7.289093463,0.135283880,0.207417775
7.337705513,0.146982966,0.236171087
7.386317563,0.158682052,0.236171087
7.434929613,0.170381139,0.236171087
7.483541662,0.182080225,0.236171087
7.532153712,0.193779311,0.236171087
7.580757488,0.205509756,0.236819585
7.628813130,0.219317553,0.279792196
7.676868772,0.233125349,0.279792196
7.724924414,0.246933146,0.279792196
7.772980057,0.260740942,0.279792196
7.821035699,0.274548739,0.279792196
7.869091341,0.288356536,0.279792196
7.917044360,0.302506390,0.286934599
7.964764375,0.317432884,0.303151921
8.012484389,0.332359378,0.303151921
8.060204404,0.347285872,0.303151921
8.107924418,0.362212366,0.303151921
8.155644433,0.377138860,0.303151921
8.203364447,0.392065354,0.303151921
8.250654200,0.408292305,0.330549406
8.297860182,0.424772452,0.335882973
8.345066165,0.441252598,0.335882973
8.392272147,0.457732745,0.335882973
8.439478130,0.474212891,0.335882973
8.486671735,0.490727432,0.336614010
8.533554069,0.508106924,0.354999448
8.580436403,0.525486416,0.354999448
8.627318737,0.542865909,0.354999448
8.674201071,0.560245401,0.354999448
8.721083405,0.577624894,0.354999448
8.767921233,0.595122828,0.357530004
8.814647412,0.612917888,0.363878230
8.861373591,0.630712948,0.363878230
8.908099771,0.648508008,0.363878230
8.954825950,0.666303068,0.363878230
9.001552130,0.684098128,0.363878230
9.048130041,0.702276565,0.372099272
9.094670562,0.720551682,0.374172431
9.141211083,0.738826799,0.374172431
9.187751604,0.757101916,0.374172431
9.234292125,0.775377034,0.374172431
9.280832646,0.793652151,0.374172431
9.327288372,0.812141362,0.378777931
9.373720768,0.830689476,0.380045026
9.420153165,0.849237590,0.380045026
9.466585562,0.867785704,0.380045026
9.513017959,0.886333819,0.380045026
9.559450355,0.904881933,0.380045026
9.605881115,0.923434138,0.380133150
9.652292585,0.942034553,0.381171679
9.698704055,0.960634969,0.381171679
9.745115525,0.979235384,0.381171679
9.791526995,0.997835800,0.381171679
9.837938465,1.016436216,0.381171679
9.884349935,1.035036631,0.381171679
9.930761404,1.053637047,0.381171679
9.977154528,1.072283105,0.382155511
10.023528125,1.090977745,0.383202707
10.069901721,1.109672385,0.383202707
10.116275317,1.128367025,0.383202707
10.162648913,1.147061665,0.383202707
10.209022510,1.165756306,0.383202707
10.255396106,1.184450946,0.383202707
10.301769702,1.203145586,0.383202707
10.348128519,1.221876841,0.383992410
10.394485025,1.240613817,0.384115824
10.440841532,1.259350794,0.384115824
