success,reason,path_type,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,straight,3.4000000953674316,0.13188239932060242,0.165777787566185,0.09285249561071396,242
1,success,straight,3.5,0.1427299976348877,0.16919046640396118,0.09640135616064072,245
1,success,straight,3.6500000953674316,0.11894811689853668,0.11895199120044708,0.08013352006673813,249
1,success,straight,3.6500000953674316,0.13835036754608154,0.1451217085123062,0.09567178785800934,249
1,success,straight,3.4000000953674316,0.14016610383987427,0.19942143559455872,0.08915002644062042,250
1,success,straight,3.75,0.1360161155462265,0.1360705941915512,0.09727778285741806,252
1,success,straight,3.799999952316284,0.12333158403635025,0.1875961720943451,0.08642878383398056,260
1,success,straight,4.099999904632568,0.05019715428352356,0.12355044484138489,0.09444744884967804,262
1,success,straight,4.0,0.0414181724190712,0.04447285830974579,0.08231627196073532,262
1,success,straight,4.050000190734863,0.05469544976949692,0.06469455361366272,0.09583207219839096,262
1,success,straight,4.150000095367432,0.0517009012401104,0.1500682383775711,0.09391584992408752,263
1,success,straight,3.799999952316284,0.07452769577503204,0.1594899594783783,0.09920592606067657,263
1,success,straight,4.099999904632568,0.05569954589009285,0.09679120033979416,0.09970498830080032,263
1,success,straight,3.8500001430511475,0.10498752444982529,0.15754370391368866,0.09969804435968399,263
1,success,straight,4.050000190734863,0.05677458271384239,0.06883120536804199,0.09242037683725357,263
1,success,straight,4.150000095367432,0.05278938263654709,0.13850617408752441,0.08801526576280594,264
1,success,straight,4.099999904632568,0.054476264864206314,0.09276778995990753,0.09108880162239075,264
1,success,straight,4.200000286102295,0.04544491320848465,0.1568152755498886,0.09244481474161148,265
1,success,straight,4.150000095367432,0.05846003443002701,0.12062744796276093,0.09140002727508545,265
1,success,straight,4.099999904632568,0.05421295389533043,0.07890421897172928,0.08372128754854202,265
1,success,straight,4.200000286102295,0.048500947654247284,0.12863807380199432,0.09119345247745514,266
1,success,straight,3.299999952316284,0.08878680318593979,0.1519644558429718,0.09952439367771149,268
1,success,straight,3.25,0.10949487239122391,0.19840744137763977,0.09600257128477097,268
1,success,straight,3.3500001430511475,0.12399638444185257,0.16752950847148895,0.09456989914178848,271
1,success,straight,4.349999904632568,0.010883830487728119,0.14738348126411438,0.07811103761196136,273
1,success,straight,4.349999904632568,0.016037695109844208,0.0914933905005455,0.07752344012260437,276
1,success,straight,3.200000047683716,0.10599544644355774,0.19885240495204926,0.06753255426883698,277
1,success,straight,4.400000095367432,0.02041240967810154,0.09365712851285934,0.08930615335702896,277
1,success,straight,3.5,0.12851040065288544,0.15425637364387512,0.09471940994262695,278
1,success,straight,4.349999904632568,0.022049766033887863,0.03742964193224907,0.07973147183656693,279
1,success,straight,4.450000286102295,0.03077392652630806,0.11560641974210739,0.08006668835878372,280
1,success,straight,4.400000095367432,0.039621032774448395,0.0440516322851181,0.0884537547826767,282
1,success,straight,3.8500001430511475,0.08116920292377472,0.16626399755477905,0.09914708137512207,283
1,success,straight,4.400000095367432,0.04026830941438675,0.042679764330387115,0.07754213362932205,284
1,success,straight,4.300000190734863,0.04777846485376358,0.14132842421531677,0.09977070987224579,284
1,success,straight,4.5,0.04575943946838379,0.05571575462818146,0.0910908654332161,286
1,success,straight,4.5,0.05082964897155762,0.06679399311542511,0.08325867354869843,286
1,success,straight,4.5,0.04704489931464195,0.05086545646190643,0.08266931772232056,287
1,success,straight,4.5,0.0644703209400177,0.06762945652008057,0.08499999344348907,287
1,success,straight,4.5,0.0434737429022789,0.04901055991649628,0.07989979535341263,287
1,success,straight,4.550000190734863,0.06704803556203842,0.0909455344080925,0.09994713962078094,287
1,success,straight,4.650000095367432,0.04297132417559624,0.16842752695083618,0.09745360165834427,287
1,success,straight,4.5,0.07166662067174911,0.07169463485479355,0.08154512941837311,288
1,success,straight,4.5,0.0725998803973198,0.07261259108781815,0.07948580384254456,288
1,success,straight,3.799999952316284,0.08878432214260101,0.19973015785217285,0.07949747145175934,289
1,success,straight,3.75,0.1001119315624237,0.19876502454280853,0.08676433563232422,289
1,success,straight,4.599999904632568,0.09243476390838623,0.11951682716608047,0.0988805890083313,289
1,success,straight,4.550000190734863,0.08846697956323624,0.08852653205394745,0.09683860093355179,290
1,success,straight,4.5,0.13195939362049103,0.13829882442951202,0.09384249895811081,290
1,success,straight,2.6500000953674316,0.13261069357395172,0.18640407919883728,0.09626203775405884,290
1,success,straight,4.550000190734863,0.12673906981945038,0.12974913418293,0.0837249681353569,290
1,success,straight,3.8500001430511475,0.12092843651771545,0.16612398624420166,0.09868660569190979,291
1,success,straight,4.650000095367432,0.11320310831069946,0.13031159341335297,0.09691010415554047,292
1,success,straight,4.599999904632568,0.10612642019987106,0.10714753717184067,0.09344413876533508,292
1,success,straight,4.650000095367432,0.14145037531852722,0.16757157444953918,0.08031710237264633,292
1,success,straight,4.700000286102295,0.1280469447374344,0.1618705540895462,0.09496500343084335,293
1,success,straight,4.700000286102295,0.12580054998397827,0.15169505774974823,0.09326949715614319,294
1,success,straight,4.75,0.1323332041501999,0.18501798808574677,0.09459923207759857,294
1,success,straight,4.5,0.03716083988547325,0.17071260511875153,0.08206430077552795,295
1,success,straight,3.799999952316284,0.10843679308891296,0.19906646013259888,0.0732070803642273,295
1,success,straight,4.650000095367432,0.17862968146800995,0.18055541813373566,0.08276867121458054,295
1,success,straight,3.5,0.11725979298353195,0.19996552169322968,0.08474329859018326,296
1,success,straight,4.800000190734863,0.15905721485614777,0.19760654866695404,0.09727857261896133,297
1,success,straight,3.8500001430511475,0.11720949411392212,0.1998210847377777,0.06747883558273315,297
1,success,straight,4.75,0.17615321278572083,0.1818806678056717,0.09470458328723907,298
1,success,straight,3.5,0.11939041316509247,0.1997295767068863,0.08513151109218597,299
1,success,straight,4.800000190734863,0.16448846459388733,0.1850905567407608,0.08226089924573898,299
1,success,straight,3.25,0.1126960963010788,0.1995169073343277,0.06896374374628067,309
1,success,straight,3.4000000953674316,0.13282306492328644,0.19982874393463135,0.06381092965602875,321
1,success,straight,3.450000047683716,0.11801724880933762,0.19979813694953918,0.06646575033664703,328
1,success,straight,3.3500001430511475,0.13027633726596832,0.1985352635383606,0.08311216533184052,330
1,success,straight,3.1500000953674316,0.11459152400493622,0.19897958636283875,0.07340297847986221,331
1,success,straight,3.200000047683716,0.06350001692771912,0.17539846897125244,0.08802551031112671,332
1,success,straight,3.75,0.10298967361450195,0.199361652135849,0.0557531900703907,334
1,success,straight,4.400000095367432,0.02112625725567341,0.1994067281484604,0.058906666934490204,338
1,success,straight,4.400000095367432,0.015872210264205933,0.19987022876739502,0.044173210859298706,348
1,success,straight,3.1500000953674316,0.11599326133728027,0.19925960898399353,0.07944049686193466,352
1,success,straight,3.450000047683716,0.11823101341724396,0.19977501034736633,0.06937207281589508,352
1,success,straight,3.6500000953674316,0.11555555462837219,0.19898681342601776,0.07150187343358994,352
1,success,straight,4.25,0.011304973624646664,0.1993291825056076,0.03726782277226448,355
1,success,straight,3.049999952316284,0.11017565429210663,0.19947710633277893,0.08226633071899414,356
1,success,straight,2.6000001430511475,0.15221065282821655,0.18025924265384674,0.09866908937692642,357
1,success,straight,3.049999952316284,0.10695056617259979,0.19989626109600067,0.07540278881788254,359
1,success,straight,3.049999952316284,0.12015873193740845,0.19340279698371887,0.09931111335754395,361
1,success,straight,3.6500000953674316,0.11893941462039948,0.19942447543144226,0.07004602253437042,370
1,success,straight,4.25,0.08942803740501404,0.19907109439373016,0.07195525616407394,372
1,success,straight,3.049999952316284,0.11107470095157623,0.1998942494392395,0.078459233045578,374
1,success,straight,3.0,0.14310872554779053,0.19984056055545807,0.06728846579790115,376
1,success,straight,2.6500000953674316,0.13397835195064545,0.19864147901535034,0.09670625627040863,376
1,success,straight,3.6500000953674316,0.11626918613910675,0.1991741955280304,0.08005549758672714,377
1,success,straight,2.950000047683716,0.13951775431632996,0.1990738958120346,0.0732472613453865,378
1,success,straight,2.799999952316284,0.13106687366962433,0.1986294835805893,0.07471711933612823,380
1,success,straight,2.799999952316284,0.12150629609823227,0.19984540343284607,0.07468897849321365,383
1,success,straight,3.549999952316284,0.12911434471607208,0.19934554398059845,0.09487069398164749,385
1,success,straight,2.8500001430511475,0.13274918496608734,0.19850116968154907,0.08304662257432938,389
1,success,straight,2.75,0.03202173858880997,0.19086578488349915,0.09933369606733322,389
1,success,straight,2.700000047683716,0.10911448299884796,0.19992133975028992,0.0706539899110794,398
1,success,straight,3.950000047683716,0.12821131944656372,0.1995658278465271,0.08848322182893753,402
1,success,straight,4.050000190734863,0.09886452555656433,0.19909805059432983,0.08453691750764847,407
1,success,straight,2.700000047683716,0.10752250999212265,0.19987943768501282,0.07531373202800751,412
1,success,straight,2.6000001430511475,0.1340528130531311,0.19916486740112305,0.08753196150064468,416
1,success,straight,2.700000047683716,0.11405109614133835,0.1775142401456833,0.08738808333873749,418
1,success,straight,2.75,0.14256131649017334,0.1985602080821991,0.0968354269862175,422
1,success,straight,2.799999952316284,0.1284387856721878,0.19776920974254608,0.09803783893585205,427
1,success,straight,3.200000047683716,0.11888492852449417,0.17892923951148987,0.09408427029848099,433
1,success,straight,4.800000190734863,0.16198572516441345,0.19886334240436554,0.08846873790025711,440
1,success,straight,2.9000000953674316,0.12732170522212982,0.1995755434036255,0.08443494141101837,447
1,success,straight,4.75,0.10210564732551575,0.19926023483276367,0.04825308546423912,448
1,success,straight,4.849999904632568,0.1430244892835617,0.19930824637413025,0.06611759960651398,461
1,success,straight,4.800000190734863,0.19806912541389465,0.19998414814472198,0.09147422015666962,493
1,success,straight,2.700000047683716,0.07899945974349976,0.19161540269851685,0.09831803292036057,509
1,success,straight,4.550000190734863,0.027769552543759346,0.17668668925762177,0.02618653140962124,511
1,success,straight,3.200000047683716,0.06616194546222687,0.19910138845443726,0.08500505238771439,519
1,success,straight,4.800000190734863,0.19616757333278656,0.19983553886413574,0.07414916902780533,519
1,success,straight,4.200000286102295,0.0510634109377861,0.08873721957206726,0.07584543526172638,526
1,success,straight,3.950000047683716,0.10764496773481369,0.17401237785816193,0.09040023386478424,530
1,success,straight,4.150000095367432,0.018490418791770935,0.14814768731594086,0.09453890472650528,531
1,success,straight,3.4000000953674316,0.13024337589740753,0.1622122824192047,0.08659342676401138,532
1,success,straight,3.6500000953674316,0.11068737506866455,0.1885332614183426,0.09751441329717636,533
1,success,straight,3.9000000953674316,0.08551430702209473,0.15858608484268188,0.09682857245206833,541
1,success,straight,4.450000286102295,0.05254308134317398,0.052952978760004044,0.09230426698923111,546
1,success,straight,3.5,0.14567169547080994,0.1996046006679535,0.06664196401834488,548
1,success,straight,3.799999952316284,0.09779319912195206,0.19966250658035278,0.08413302898406982,548
1,success,straight,3.799999952316284,0.1142929419875145,0.19466879963874817,0.08519084751605988,550
1,success,straight,4.450000286102295,0.08210714161396027,0.08745767921209335,0.0737048089504242,552
1,success,straight,3.9000000953674316,0.08262398093938828,0.1155950278043747,0.09414110332727432,552
1,success,straight,3.4000000953674316,0.12586542963981628,0.1600736379623413,0.09635866433382034,554
1,success,straight,4.550000190734863,0.06832096725702286,0.07174260169267654,0.08923372626304626,555
