torque1,torque2,v1,v2,pos1,pos2,quat_x,quat_y,quat_z,quat_w,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,pos_x,pos_y,euler_x,euler_y,euler_z
-7.64691686630249,0.07817036658525467,0.20336350798606873,-0.0005405449192039669,0.05398908630013466,6.810193008277565e-05,-0.0009384620934724808,-0.04920528084039688,-1.1582099432416726e-05,0.9987882375717163,-0.09325756132602692,0.004382980987429619,-0.026609305292367935,-0.010964878834784031,-0.4348681569099426,0.00020850937289651483,-0.017803147435188293,0.0007504471577703953,-0.0018826274157092977,-0.0984502953157591,6.955526218460406e-05
27.88227653503418,0.13110056519508362,0.26170599460601807,-0.0006264839321374893,0.05893959850072861,5.618352224701084e-05,-0.0010511245345696807,-0.05397194251418114,-1.167017126135761e-05,0.9985418319702148,-0.09238642454147339,0.004544348921626806,-0.03048667125403881,-0.011366892606019974,-0.4909685254096985,6.569945981027558e-05,-0.019643224775791168,0.0008404599502682686,-0.002110219761509455,-0.1079963319270627,9.068449199283044e-05
25.840290069580078,0.18173334002494812,0.3110136389732361,-0.0007296648691408336,0.06492330878973007,4.2366806155769154e-05,-0.0011671405518427491,-0.059209633618593216,-1.270453412871575e-05,0.9982448220252991,-0.09039781242609024,0.0046749478206038475,-0.03339637443423271,-0.011694793589413166,-0.5352534651756287,-5.5712866014800966e-05,-0.02144889533519745,0.0009330112952739,-0.002345124981380314,-0.11848852494886675,0.00011364429663373038
24.11452293395996,0.23349925875663757,0.3514806032180786,-0.0008561916765756905,0.07176133245229721,2.6140876798308454e-05,-0.0012858184054493904,-0.06479958444833755,-1.4436335732170846e-05,0.9978973865509033,-0.08719452470541,0.004773385357111692,-0.03547004610300064,-0.011952106840908527,-0.5677242875099182,-0.00014905068383086473,-0.02319696545600891,0.0010275295935571194,-0.002586079806719305,-0.12968997817256867,0.0001389963430143071
22.698179244995117,0.2978990077972412,0.3833961486816406,-0.0009616778115741909,0.07928185909986496,7.679926966375206e-06,-0.001406466239131987,-0.07062457501888275,-1.6628830053377897e-05,0.9975019097328186,-0.08270469307899475,0.004841473884880543,-0.036794018000364304,-0.012138906866312027,-0.5885536074638367,-0.00020241782476659864,-0.02486257255077362,0.001123547088354826,-0.002831809968273023,-0.1413667505557925,0.0001671550843106062
21.581134796142578,0.3610572814941406,0.4073680639266968,-0.0010508932173252106,0.08732185512781143,-1.2696354133368004e-05,-0.0015284114051610231,-0.07657112926244736,-1.8961405658046715e-05,0.9970629811286926,-0.07690060883760452,0.004878670442849398,-0.03747595474123955,-0.012254824861884117,-0.5981055498123169,-0.0002108380722347647,-0.026419945061206818,0.0012205245438963175,-0.0030810751754329654,-0.1532921760597219,0.0001985815503781667
20.742116928100586,0.4197452962398529,0.42380645871162415,-0.0011362427612766623,0.09572835266590118,-3.4769796911859885e-05,-0.0016509268898516893,-0.08252952247858047,-2.1058416677988134e-05,0.9965872168540955,-0.06977267563343048,0.004884439520537853,-0.037624530494213104,-0.01229806523770094,-0.5968483686447144,-0.00017172635125461966,-0.02784258872270584,0.0013177585788071156,-0.0033325119120007833,-0.1652468419974238,0.00023371099891793967
20.16677474975586,0.47577589750289917,0.4333033561706543,-0.0012125028297305107,0.10436012595891953,-5.857006908627227e-05,-0.0017733278218656778,-0.08839617669582367,-2.254356695630122e-05,0.9960837364196777,-0.06134530529379845,0.004860083572566509,-0.03735071420669556,-0.012260870076715946,-0.5854068994522095,-8.5225619841367e-05,-0.029103994369506836,0.0014147462788969278,-0.003584811078045513,-0.1770232178582738,0.00027286453938090685
19.834383010864258,0.534136176109314,0.43661290407180786,-0.0012898275163024664,0.11308863759040833,-8.391791197936982e-05,-0.0018949502846226096,-0.0940757691860199,-2.3046823116601445e-05,0.9955632090568542,-0.05167177692055702,0.004804789554327726,-0.036754705011844635,-0.012160573154687881,-0.5645316243171692,5.340274947229773e-05,-0.03017861396074295,0.001510991482064128,-0.0038366695219279193,-0.18842992954005688,0.00031624639984094676
19.718547821044922,0.5904690027236938,0.4343605041503906,-0.0013336478732526302,0.12179910391569138,-0.0001105753835872747,-0.002015103818848729,-0.09948001801967621,-2.2170432202983648e-05,0.9950374364852905,-0.040820345282554626,0.004723245278000832,-0.03593548759818077,-0.011972890235483646,-0.5350433588027954,0.00023709017841611058,-0.031041480600833893,0.001605987548828125,-0.004086694097914735,-0.19928936004027697,0.0003640090189542442
